"","证券代码","申万一级行业","净资产收益率ROE.平均...报告期..1993一季..单位...","净资产收益率ROE.平均...报告期..1993中报..单位...","净资产收益率ROE.平均...报告期..1993三季..单位...","净资产收益率ROE.平均...报告期..1993年报..单位...","净资产收益率ROE.平均...报告期..1994一季..单位...","净资产收益率ROE.平均...报告期..1994中报..单位...","净资产收益率ROE.平均...报告期..1994三季..单位...","净资产收益率ROE.平均...报告期..1994年报..单位...","净资产收益率ROE.平均...报告期..1995一季..单位...","净资产收益率ROE.平均...报告期..1995中报..单位...","净资产收益率ROE.平均...报告期..1995三季..单位...","净资产收益率ROE.平均...报告期..1995年报..单位...","净资产收益率ROE.平均...报告期..1996一季..单位...","净资产收益率ROE.平均...报告期..1996中报..单位...","净资产收益率ROE.平均...报告期..1996三季..单位...","净资产收益率ROE.平均...报告期..1996年报..单位...","净资产收益率ROE.平均...报告期..1997一季..单位...","净资产收益率ROE.平均...报告期..1997中报..单位...","净资产收益率ROE.平均...报告期..1997三季..单位...","净资产收益率ROE.平均...报告期..1997年报..单位...","净资产收益率ROE.平均...报告期..1998一季..单位...","净资产收益率ROE.平均...报告期..1998中报..单位...","净资产收益率ROE.平均...报告期..1998三季..单位...","净资产收益率ROE.平均...报告期..1998年报..单位...","净资产收益率ROE.平均...报告期..1999一季..单位...","净资产收益率ROE.平均...报告期..1999中报..单位...","净资产收益率ROE.平均...报告期..1999三季..单位...","净资产收益率ROE.平均...报告期..1999年报..单位...","净资产收益率ROE.平均...报告期..2000一季..单位...","净资产收益率ROE.平均...报告期..2000中报..单位...","净资产收益率ROE.平均...报告期..2000三季..单位...","净资产收益率ROE.平均...报告期..2000年报..单位...","净资产收益率ROE.平均...报告期..2001一季..单位...","净资产收益率ROE.平均...报告期..2001中报..单位...","净资产收益率ROE.平均...报告期..2001三季..单位...","净资产收益率ROE.平均...报告期..2001年报..单位...","净资产收益率ROE.平均...报告期..2002一季..单位...","净资产收益率ROE.平均...报告期..2002中报..单位...","净资产收益率ROE.平均...报告期..2002三季..单位...","净资产收益率ROE.平均...报告期..2002年报..单位...","净资产收益率ROE.平均...报告期..2003一季..单位...","净资产收益率ROE.平均...报告期..2003中报..单位...","净资产收益率ROE.平均...报告期..2003三季..单位...","净资产收益率ROE.平均...报告期..2003年报..单位...","净资产收益率ROE.平均...报告期..2004一季..单位...","净资产收益率ROE.平均...报告期..2004中报..单位...","净资产收益率ROE.平均...报告期..2004三季..单位...","净资产收益率ROE.平均...报告期..2004年报..单位...","净资产收益率ROE.平均...报告期..2005一季..单位...","净资产收益率ROE.平均...报告期..2005中报..单位...","净资产收益率ROE.平均...报告期..2005三季..单位...","净资产收益率ROE.平均...报告期..2005年报..单位...","净资产收益率ROE.平均...报告期..2006一季..单位...","净资产收益率ROE.平均...报告期..2006中报..单位...","净资产收益率ROE.平均...报告期..2006三季..单位...","净资产收益率ROE.平均...报告期..2006年报..单位...","净资产收益率ROE.平均...报告期..2007一季..单位...","净资产收益率ROE.平均...报告期..2007中报..单位...","净资产收益率ROE.平均...报告期..2007三季..单位...","净资产收益率ROE.平均...报告期..2007年报..单位...","净资产收益率ROE.平均...报告期..2008一季..单位...","净资产收益率ROE.平均...报告期..2008中报..单位...","净资产收益率ROE.平均...报告期..2008三季..单位...","净资产收益率ROE.平均...报告期..2008年报..单位...","净资产收益率ROE.平均...报告期..2009一季..单位...","净资产收益率ROE.平均...报告期..2009中报..单位...","净资产收益率ROE.平均...报告期..2009三季..单位...","净资产收益率ROE.平均...报告期..2009年报..单位...","净资产收益率ROE.平均...报告期..2010一季..单位...","净资产收益率ROE.平均...报告期..2010中报..单位...","净资产收益率ROE.平均...报告期..2010三季..单位...","净资产收益率ROE.平均...报告期..2010年报..单位...","净资产收益率ROE.平均...报告期..2011一季..单位...","净资产收益率ROE.平均...报告期..2011中报..单位...","净资产收益率ROE.平均...报告期..2011三季..单位...","净资产收益率ROE.平均...报告期..2011年报..单位...","净资产收益率ROE.平均...报告期..2012一季..单位...","净资产收益率ROE.平均...报告期..2012中报..单位...","净资产收益率ROE.平均...报告期..2012三季..单位...","净资产收益率ROE.平均...报告期..2012年报..单位...","净资产收益率ROE.平均...报告期..2013一季..单位...","净资产收益率ROE.平均...报告期..2013中报..单位...","净资产收益率ROE.平均...报告期..2013三季..单位...","净资产收益率ROE.平均...报告期..2013年报..单位...","净资产收益率ROE.平均...报告期..2014一季..单位...","净资产收益率ROE.平均...报告期..2014中报..单位...","净资产收益率ROE.平均...报告期..2014三季..单位...","净资产收益率ROE.平均...报告期..2014年报..单位...","净资产收益率ROE.平均...报告期..2015一季..单位...","净资产收益率ROE.平均...报告期..2015中报..单位...","净资产收益率ROE.平均...报告期..2015三季..单位...","净资产收益率ROE.平均...报告期..2015年报..单位...","净资产收益率ROE.平均...报告期..2016一季..单位...","净资产收益率ROE.平均...报告期..2016中报..单位...","净资产收益率ROE.平均...报告期..2016三季..单位...","净资产收益率ROE.平均...报告期..2016年报..单位...","净资产收益率ROE.平均...报告期..2017一季..单位...","净资产收益率ROE.平均...报告期..2017中报..单位...","净资产收益率ROE.平均...报告期..2017三季..单位...","净资产收益率ROE.平均...报告期..2017年报..单位..."
"97","000428.SZ","休闲服务",NA,NA,NA,NA,NA,NA,NA,35.891,NA,NA,NA,21.2616,5.3243,10.5728,NA,28.6766,NA,11.3103,NA,24.6296,NA,7.7254,NA,13.6141,NA,3.6092,NA,7.5788,NA,3.4949,NA,7.4444,NA,4.2344,NA,8.6816,1.5714,3.6013,"4.5501","5.5965","1.6335",2.1189,3.3327,"4.0364",1.0206,"2.2451","3.3243",5.31,0.963,2.2314,2.6218,"2.0822","0.9235",4.0202,"7.2735","16.5556",2.9479,"18.3584","21.0314","25.0430",2.1171,11.982,"12.1800","13.8713","3.4106","6.0054","7.2463","11.3369",1.3917,6.1583,"8.4141","10.1377",1.4006,3.0335,5.1697,"8.1160","1.1765",2.5383,5.6369,"6.6562",1.4544,3.9698,9.5238,"7.4291",-2.3308,"-2.4840",-0.5234,-6.1878,-3.2181,"2.8981","1.3714","0.5423",-1.8248,-2.7768,-3.9426,"-9.4745",-2.2486,-3.4193,-5.2436,"3.6865"
"99","000430.SZ","休闲服务",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.6808,NA,6.4288,NA,11.646,NA,1.2563,NA,12.8372,NA,1.1504,NA,0.7144,NA,-7.9465,NA,-66.5572,NA,-15.6359,-2.3287,11.5673,0.5473,4.5158,"6.9143","8.8320","0.9010",1.1702,5.749,"7.4559",0.6513,"1.6435","5.7100",0.7932,-2.5434,-5.393,-4.75,"-31.1019","-26.5190",-41.8111,"-30.6641","-252.4614",NA,"","","",NA,NA,"","","","","","",NA,NA,"","",NA,20.053,55.5113,"66.3112","-2.6679",10.9076,26.0643,"30.5045",-4.4132,2.7451,11.4705,"12.7736",-1.6961,"4.4659",13.8876,13.0435,-0.9205,"9.4563","23.3936","20.7956",0.3188,5.6077,14.7006,"9.5814",1.5659,5.7099,6.3434,"6.0607"
"120","000524.SZ","休闲服务",NA,NA,NA,NA,NA,8.3157,NA,13.4054,NA,7.4612,NA,13.0315,NA,4.0915,NA,12.0234,NA,5.3625,NA,12.1204,NA,3.7776,NA,6.0851,NA,1.7404,NA,3.1562,NA,2.0715,NA,2.8289,NA,0.9939,NA,-15.3345,0.1213,1.3391,"1.0187","1.4539","-3.4641",-4.3821,-8.6187,"-16.3695",-2.1051,"2.0057","0.8188",6.4878,-1.4831,2.1778,0.1458,"6.3836","-1.2623",1.9813,"1.1094","4.0900",-1.659,"2.7510","1.3353","4.3727",-1.0266,0.2965,"-1.9206","0.7117","-1.8147","-2.8941","-4.4703","-8.5643",-0.1141,0.3291,"0.5369","1.1140",0.7294,1.6631,2.3897,"3.4252","1.3901",2.8472,4.144,"5.1581",1.3548,2.8392,4.0625,"5.5142",0.6411,"2.0021",4.0214,6.0971,1.2691,"4.0309","5.1974","6.7078",1.0686,3.4895,4.7281,"4.9405",4.2936,5.2232,8.9878,"11.1826"
"188","000610.SZ","休闲服务",NA,NA,NA,NA,NA,NA,NA,16.6526,NA,NA,NA,15.9924,2.4456,8.0636,NA,14.4824,NA,8.6545,NA,11.4829,NA,5.0837,NA,11.1336,NA,4.1746,NA,6.7243,NA,2.3047,NA,5.569,NA,0.1094,NA,0.4262,0.025,0.7193,"1.2868","1.7805","0.0370",-1.0291,-0.3379,"0.3729",1.2241,"1.6847","2.6098",6.6578,0.4485,3.831,4.3172,"6.9686","0.4687",2.3726,"2.5206","2.1248",0.5233,"2.3753","2.5427","2.3703",0.223,1.435,"1.9485","2.7675","-1.6370","-0.8087","0.6307","-0.7292",-0.5702,0.123,"4.7330","6.7384",1.4945,4.4786,5.1302,"6.4820","6.4321",5.6116,5.154,"4.7253",-0.256,-1.3932,-1.4724,"1.8636",-1.8801,"-2.7786",-2.6345,-4.6481,-1.4267,"-1.4407","-1.8971","1.7715",-1.0014,0.4694,0.2131,"1.3498",-0.5805,-0.9143,-1.4926,"-2.3549"
"191","000613.SZ","休闲服务",NA,NA,NA,NA,NA,NA,NA,12.4084,NA,NA,NA,14.3524,NA,NA,NA,15.9112,NA,4.6366,NA,5.4789,NA,0.3228,NA,-11.3718,NA,-2.3112,NA,-12.1019,NA,-11.0929,NA,-24.2313,-3.7737,-27.8217,-43.4835,3.202,1.6327,1.1531,"1.2867","2.3325","-14.4097",-97.4298,-190.8984,"",NA,"","",NA,NA,NA,NA,"","",NA,"","",NA,"","3,649.2429","1,175.1225",3.576,2.4954,"-1.0393","0.4832","0.6222","-2.5313","-3.6379","-3.4020",1.1955,0.5777,"-1.2554","0.7834",0.8258,-1.8914,-6.45,"-6.2407","1.1959",0.7164,-0.6351,"2.5600",1.0405,-0.5747,-2.7611,"-2.6494",0.6156,"-1.0412",-2.1428,3.0103,-0.1339,"-4.1006","-7.9394","-9.2690",1.8649,0.2235,-2.1858,"-3.5196",3.1932,2.2882,0.3241,"3.7765"
"269","000721.SZ","休闲服务",NA,NA,NA,NA,NA,NA,NA,17.0919,NA,NA,NA,10.7164,NA,NA,NA,12.271,NA,4.9006,NA,14.097,NA,3.1136,NA,7.7209,NA,3.0011,NA,0.513,NA,2.0566,NA,1.2991,NA,2.0761,NA,7.9859,1.0258,2.965,"4.0256","6.3737","1.1483",0.2989,3.2114,"7.2815",1.1995,"2.8629","4.4296",6.6798,1.1371,2.7575,4.1835,"6.3899","1.1576",2.7265,"4.0052","3.5190",0.8677,"2.6063","3.4548","3.3945",1.021,2.5614,"3.7436","3.8710","0.9837","2.4125","3.4116","12.1736",0.8204,1.5423,"2.8641","8.3524",5.9971,6.9935,8.5112,"8.2794","0.7915",1.8166,3.2866,"3.0735",0.6957,1.4356,2.4622,"2.5502",0.7796,"0.3904",0.8931,1.5859,-0.44,"-0.5242","-1.6430","-4.6772",-1.9067,3.1098,2.7209,"1.8515",-1.2858,-0.1621,-0.5937,"-1.6855"
"316","000796.SZ","休闲服务",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.2164,NA,NA,NA,25.707,NA,7.098,NA,17.346,NA,4.2217,NA,15.2724,NA,4.6028,NA,10.4342,NA,3.6798,NA,8.8515,NA,3.3257,NA,5.0094,0.7373,1.9153,"2.8367","3.2492","0.5702",1.0607,1.5392,"1.9788",0.7297,"1.2328","1.5895",0.8823,0.5748,1.0109,1.3084,"-27.9701","0.5110",0.2742,"-0.2073","0.2671",0.7,"-0.2870","1.9908","0.5036",3.0126,0.9289,"0.6569","1.5188","2.6032","1.6762","1.2528","6.5970",1.4197,2.6519,"4.1034","6.9420",0.8319,1.4458,2.3234,"3.6378","1.4084",1.6779,3.2441,"2.7366",1.6912,2.2516,3.3912,"9.4841",1.3645,"1.9042",2.7086,6.7966,1.4914,"2.6341","24.4422","18.8091",0.9801,3.3821,13.2801,"12.0817",1.2316,7.0785,16.9893,"11.3530"
"361","000863.SZ","休闲服务",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.5968,NA,NA,NA,39.3165,NA,14.441,NA,17.8887,NA,4.8847,NA,12.9604,NA,5.0218,NA,9.3916,NA,6.4998,NA,14.1096,NA,6.8137,NA,11.9531,0.7616,3.8829,"3.9253","5.9175","0.3901",2.4771,3.4725,"6.0967",0.5678,"1.4944","-1.2291",-79.3385,-14.7231,-50.5766,-70.812,"","",NA,"","",NA,"","","",NA,NA,"","","","","","",NA,NA,"","",NA,NA,NA,"","-1.7530",11.118,14.4384,"37.8563",0.4761,4.9505,3.0543,"30.0216",0.9463,"2.0614",1.762,6.0592,-2.2877,"2.9128","0.4354","3.5121",13.0381,9.9948,9.9075,"15.1226",1.3341,1.4401,0.9588,"4.1616"
"375","000888.SZ","休闲服务",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.3367,NA,NA,NA,59.1501,NA,NA,NA,20.3494,NA,3.82,NA,9.0509,NA,3.6418,NA,6.6458,NA,1.6986,NA,8.0646,NA,2.1512,NA,8.0953,-2.0526,1.2711,"5.7627","6.7608","-1.9778",-1.0199,5.3001,"7.8975",-0.6637,"3.1739","10.0864",9.3458,-0.9543,1.8092,7.0357,"6.7987","-1.0257",1.7987,"7.1521","7.0565",-1.1886,"2.0666","7.2638","7.6559",-0.9553,-3.1109,"0.9335","3.6233","-0.6097","2.2494","9.9997","12.8514",1.1985,4.9615,"11.8829","14.9550",1.1723,4.4066,13.8859,"17.1942","1.1032",5.6513,13.4557,"19.2891",0.6551,2.8099,10.1549,"8.6160",0.6178,"3.3396",8.5363,11.2843,0.1475,"3.1037","7.8183","10.6773",0.8349,3.0999,7.3889,"9.6485",0.8022,3.0458,7.195,"9.2384"
"444","000978.SZ","休闲服务",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.8178,NA,NA,NA,23.4622,NA,4.4514,NA,16.3933,NA,4.9521,NA,12.2179,0.6601,5.2343,"9.2548","12.6538","1.1843",0.2419,1.9628,"2.6543",0.1398,"3.2187","7.1030",9.2057,0.1499,3.1695,6.4784,"8.9682","0.6320",4.8814,"9.5947","10.8218",0.4472,"4.8225","9.4473","11.9735",-1.6763,2.7736,"4.6768","4.7961","-0.4175","2.4084","5.3049","6.9400",-0.6115,0.6662,"2.9945","7.3679",-1.1589,0.9686,3.2464,"4.6152","-1.0433",0.7595,2.5743,"4.1169",-1.9137,-1.3665,-0.0406,"0.7455",-1.9167,"-2.3648",-0.6518,2.8527,-0.9308,"-0.2396","2.1569","2.1613",-0.7385,0.3148,3.2982,"0.4081",-0.1052,1.9746,4.6499,"3.5579"
"497","002033.SZ","休闲服务",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","33.3862","",NA,NA,"18.5745",NA,"16.2089","16.8826",18.682,1.6968,5.5968,10.7345,"13.4060","2.3140",7.639,"13.9807","15.6267",3.313,"9.1692","16.0826","20.1114",2.2126,6.1623,"10.2031","12.3790","2.0908","5.5894","9.4772","9.4324",1.6161,1.2708,"2.8896","1.9784",1.3022,4.8941,9.279,"17.1244","2.4732",8.3158,14.2015,"16.7134",2.535,9.1894,15.0445,"15.7458",2.1417,"5.9591",11.2829,12.483,2.1903,"5.6187","9.8093","9.9748",1.9793,5.5508,9.7951,"10.5968",2.1411,4.5524,8.2095,"9.0867"
"523","002059.SZ","休闲服务",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,"",NA,"","",12.4105,NA,NA,NA,"8.7403","0.4506",4.6817,"3.2588","4.0082",-0.3732,"0.1120","1.7186","6.3319",-0.9425,0.1868,"1.7232","4.8488","-1.0830","-2.2770","-1.0053","2.0061",-1.5414,-0.7219,"-0.3364","-1.6222",-0.1612,1.2294,3.4609,"2.9758","-0.1514",0.6145,3.6755,"4.2036",0.6291,1.5186,4.9479,"7.6147",0.3576,"0.3011",1.0871,4.8807,-0.1844,"0.6936","2.8296","5.1102",-0.7333,1.846,3.6438,"4.2144",0.0077,1.272,2.4454,"4.7043"
"623","002159.SZ","休闲服务",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,"",NA,"","",7.0088,NA,NA,NA,"6.3903","",NA,"","7.4402",NA,"2.5097","5.0129","7.1675",-0.6958,1.0278,"2.4678","2.8918","-0.4952","0.7233","4.3647","5.4588",-2.753,0.8812,"5.6146","6.9836",-3.9428,0.5355,8.7747,"8.9005","-7.2237",-5.0685,12.9352,"11.0472",-6.3257,-6.4528,-4.0065,"5.6388",-4.6408,"-4.9797",-4.202,-4.9979,-2.3225,"-3.2564","-1.1971","4.5930",-1.7622,-3.121,-0.8488,"-6.0589",-3.6515,-4.1713,1.6929,"0.6674"
