"","上市公司","申万一级行业","X19930331","X19930630","X19930930","X19931231","X19940331","X19940630","X19940930","X19941231","X19950331","X19950630","X19950930","X19951231","X19960331","X19960630","X19960930","X19961231","X19970331","X19970630","X19970930","X19971231","X19980331","X19980630","X19980930","X19981231","X19990331","X19990630","X19990930","X19991231","X20000331","X20000630","X20000930","X20001231","X20010331","X20010630","X20010930","X20011231","X20020331","X20020630","X20020930","X20021231","X20030331","X20030630","X20030930","X20031231","X20040331","X20040630","X20040930","X20041231","X20050331","X20050630","X20050930","X20051231","X20060331","X20060630","X20060930","X20061231","X20070331","X20070630","X20070930","X20071231","X20080331","X20080630","X20080930","X20081231","X20090331","X20090630","X20090930","X20091231","X20100331","X20100630","X20100930","X20101231","X20110331","X20110630","X20110930","X20111231","X20120331","X20120630","X20120930","X20121231","X20130331","X20130630","X20130930","X20131231","X20140331","X20140630","X20140930","X20141231","X20150331","X20150630","X20150930","X20151231","X20160331","X20160630","X20160930","X20161231","X20170331","X20170630","X20170930","X20171231"
"40","000048.SZ","农林牧渔",0,0,0,-1.299298957,0,0,0,7.525062987,0,0,0,6.291069632,0,161.9875161,0,14.52918356,0,-32.12139697,0,-44.19430314,0,25.65612488,0,97.30428887,0,-58.05595378,0,46.85839764,0,396.7647419,0,-643.1942132,0,-228.92117,0,69.2716286,0,119.0375118,129.913799,114.7765256,-41.43750372,-126.5904605,-64.31984817,-28.96766771,-161.1963614,381.7117309,181.1354476,24.16430377,192.4481754,-6.337149828,-17.87904009,-936.8201919,-666.1610748,-762.6370356,-544.4177913,-14.14588713,68.12578353,110.3879511,106.3744818,124.1435524,238.9323754,688.5903391,1129.279734,146.4160028,-51.6622212,-119.5556829,-121.5286441,-30.77613504,118.7621657,115.492688,190.5893953,-182.9221897,-73.24708106,-222.1189472,-48.94887327,1261.190814,38.91575714,3073.525095,1105.456752,-93.84894756,17.51040566,1071.857591,331.4387876,-132.8392417,49.13577822,-83.34998682,-58.169783,1309.160665,198.9615418,2434.219813,925.3585098,74.56817584,14.47886006,-88.07118116,-79.37810436,-97.13749925,-321.6684603,-326.8620094,-232.2346295,4788.40364
"106","000505.SZ","农林牧渔",0,0,0,210.8633856,0,25.47064925,0,0.743520895,0,-75.83190737,0,-96.94597544,0,-86.08276125,0,-3735.299109,0,-155.2324686,0,102.2257746,0,-5750.227442,0,-4832.024199,0,81.00892988,0,113.0268641,0,54.06091731,0,128.0274066,0,154.1193577,0,-172.6335492,0,-251.4438321,-722.2520863,-212.6983655,-36.14630175,25.00449508,29.00322133,100.659574,22.65566647,-74.03666398,-85.30893701,-11449.97817,-140.5826465,-49.4332486,-26.72799646,22.65720956,-29.22646946,-4.898006658,189.5133995,181.4062804,76.8750448,87.92798775,-113.6914395,-146.0489627,-789.6318934,-1733.704721,-1746.754138,-162.7391497,43.28091246,275.7630982,208.1142219,201.4401873,103.3431674,-30.66098081,-31.60377738,-55.29226921,759.3228596,-124.2787354,-170.4648529,-236.0366382,-757.2595463,-163.6765654,-138.2136958,-157.976491,4.296729361,-77.39197115,-28.23530767,106.8257506,-41.50661938,-21.65989089,-21.7495946,-2185.612903,283.4975489,123.2933036,68.01865252,29.67215919,-159.8254861,-374.4943354,-144.1103271,160.9494038,138.0757871,140.1421673,35.56319468,-33.40706156
"163","000576.SZ","农林牧渔",0,0,0,67.5407445,0,0,0,62.76824163,0,26.13925829,0,10.06839119,0,7.752192796,0,8.720968229,0,6.953454703,0,9.386182885,0,-38.86789228,0,-62.44572671,0,-44.2077451,0,80.62584628,0,-16.9467618,0,50.21498874,0,127.9544428,0,133.0305108,0,-237.2025101,0,-1133.965003,597.9170762,135.1050344,117.574486,102.4856253,-66.90788217,-83.24277886,-73.98682627,-63.63268161,-397.1345839,-1383.261721,-2470.976445,-9954.031572,247.4978525,166.7244826,111.9202689,105.4766471,-98.99501307,-191.8699165,-514.0246678,-505.4206228,1777.600772,90.06973361,18.29846647,-17.8684241,-1526.0066,-3032.149236,45.94486482,122.1744211,67.33142034,85.14580231,-63.47945808,-708.4031781,24.63895838,-197.7359274,-77.25246618,-153.0042943,1004.323071,446.2638942,260.7681463,124.0632019,-96.14653192,-90.4465761,-69.03700385,-23.68772243,45.11494916,-0.554267182,-72.90292878,-72.17393198,-485.7445868,-494.468025,1353.139952,1672.078686,-10.96692726,-41.4513833,-187.5072692,-42.2512944,5.679941363,41.94856153,55.33768032,-377.2045335
"173","000592.SZ","农林牧渔",0,0,0,97.47003177,0,0,0,4.578599717,0,0,0,-40.09742829,0,0,0,73.95164856,0,-24.9332237,0,8.563815008,0,-20.00269226,0,-511.4538581,0,-836.494185,0,26.67970554,0,104.84713,0,110.5287576,0,-87.84447088,159.8058563,-829.8734493,0,217.4939258,121.0017928,103.282306,-54.54152376,-426.8173326,-651.9677044,-6720.097031,-1890.493706,-5.035812765,27.35971836,48.63330516,12.34006113,2.598208458,-24.64909242,-46.54903173,-10.0757338,14.19026795,0.181630341,99.09995122,89.67188935,4615.454742,2473.550627,24248.26808,4342.241218,-88.41269269,-81.70856318,-78.27570242,-90.90487025,-53.47774125,-12.92664732,-9.946289337,44.37064749,-15.2382043,-33.00980782,22.78810519,-290.2340365,-29.95238515,-66.80294096,-90.63341539,-293.1321666,-262.2634543,-203.4054453,94.71341235,86.49021119,169.511601,285.1704597,194.3029075,102.3280695,123.54686,99.98724034,57.44942479,-794.3311968,9.627730378,-36.61914,-45.58849833,-512.7737945,-53.17418827,-51.39497815,-87.20117951,-609.135872,-118.543317,-96.74837496,-228.5030808
"212","000639.SZ","农林牧渔",0,0,0,0,0,0,0,41.02336648,0,0,0,-16.44419578,0,0,0,16.88654736,0,0,0,-3.291478819,0,-26.19376868,0,-438.883356,0,-312.9192144,0,123.0133943,0,122.8211863,0,-41.81897544,0,32.67654722,0,99.05766936,0,58.9212524,0,53.58454287,15.21274862,-15.4956903,-13.5785715,-3.245985929,2.687875158,41.21746766,34.77251495,30.79453795,-38.91727077,-23.5861213,-24.25837551,-39.23924188,35.7260732,17.98405529,-6.360911599,7.995189964,-25.83004171,-68.6024098,-45.29659446,-56.95222808,1.565144899,15.08115151,-44.21204022,-66.67457378,-128.3045497,-198.3572099,-232.3559513,-327.0511766,-62.29738015,66.25993516,34.02392178,19.40375325,1.294190069,31.23317158,48.22524029,36.25893172,10.99902025,-25.6486289,1.375947771,25.39071673,65.28431961,46.51716406,35.60311732,26.47889315,-25.06531161,-14.73888709,-26.96312021,-35.06776871,82.43179534,47.92746901,35.84973135,24.49985681,10.04814285,30.91219825,-8.005350093,9.161822432,92.72657258,117.3031781,145.7006765,207.6849241
"253","000702.SZ","农林牧渔",0,0,0,0,0,0,0,4.940208259,0,0,0,43.22206039,0,0,0,8.92793602,0,0,0,46.41516723,0,36.58039919,0,-1.834948466,0,-50.75885995,0,-12.82788199,0,-5.09972754,0,58.08118356,0,70.13294972,0,-30.42997676,0,-30.71989875,0,-47.39958063,-92.77400458,-47.5196938,-27.37925387,-60.38039516,86.64153948,-51.93908982,-12.2804584,-3302.191257,1266.757072,623.6594087,352.6946767,103.1087742,-63.82353794,-90.97720615,-90.04591287,244.7121222,-77.75842639,-95.49660825,-83.42343021,-458.8430594,738.711208,8930.205474,2540.609878,117.6317165,-46.40722237,-47.6492191,-42.78624137,-23.95981338,-31.94614903,-169.6654678,-117.7305687,-26.73065916,-11.23803469,181.2586936,354.6165445,-39.48058404,80.52972813,3.583635362,8.238895659,-28.4635278,78.71435238,68.92713663,69.04185147,-638.7684841,-39.92036031,-31.18704841,31.94586496,205.670708,-43.60238067,-33.612315,-33.1017927,-82.86483083,-486.0365039,-238.5667825,-160.8106921,-72.0802072,29.34320763,27.03849547,425.3777137,1066.197011
"262","000713.SZ","农林牧渔",0,0,0,0,0,0,0,104.439231,0,0,0,132.8298049,0,0,0,14.21966893,0,0,0,29.56095239,0,-52.70579904,0,4.748855231,0,33.34491223,0,7.986135448,0,-46.70389949,0,24.6924602,0,-24.77912664,0,-86.99413616,0,-85.6551953,0,-4715.003029,3795.08678,1896.271957,177.4562761,103.6272916,10.53092076,0.042819439,5.460666558,102.0686185,-2.280227173,-4.81460635,-13.74676814,39.37718415,25.63746154,32.13907702,45.77870062,41.40940739,7.504309847,8.715098542,13.64123972,42.80453348,10.0463629,19.1622229,-3.371426886,-20.2300268,-17.96194153,1.898520286,74.35299011,140.4465865,157.0270248,174.8448682,106.9731358,34.65632136,4.531320701,-39.43281623,-69.66185541,-39.25969854,-35.35886385,-45.22128147,-43.29106711,25.04065167,-28.479343,-51.39662258,-536.2177668,-17.32797788,-4.272157165,8.308804261,61.62426263,8.010018217,44.01286131,-44.15257651,-86.55705655,-50.11979709,-30.03974638,-149.5586587,-62.631735,-26.9905786,-136.9449731,-499.8171067,47.1543857,-34.17831886
"280","000735.SZ","农林牧渔",0,0,0,0,0,0,0,0,0,0,0,36.3923538,0,0,0,-1.981416919,0,0,0,49.09254233,0,-14.936533,0,39.95927804,0,-53.43393558,0,-23.78188658,0,511.331414,0,79.31523949,0,-47.35349479,0,-14.00049692,0,-45.47971833,0,-42.41341586,-45.5889304,-39.24378219,-48.51215967,-45.34872818,-43.07242275,-29.35305798,-28.71795813,-44.04507798,-29.20354883,-47.03162671,-357.1989794,-941.9385004,-196.407327,-68.83872411,112.6436747,-5.306933321,187.2878603,5802.232971,2548.56926,456.3272081,2227.455769,-18.7275691,-32.17534363,-76.73000944,-40.78925758,-79.39994739,-83.41064574,-24.82287945,-52.2681641,-77.07675001,-69.42241855,-53.97556202,37.70135704,163.0051915,353.3327146,120.965468,33.67531284,24.63286492,-40.8846731,-53.42699507,-46.11439035,-215.9206251,-65.56326324,-18.18825293,-601.7728541,236.1324095,1040.582653,113.5867819,177.7052987,-72.64574674,-14.75078561,18.15699778,-54.25904977,306.5271397,85.07914585,38.07955195,1062.431853,379.4972983,67.14883729,74.41858204
"318","000798.SZ","农林牧渔",0,0,0,0,0,0,0,0,0,0,0,190.0433781,0,0,0,-29.91431726,0,0,0,-5.632258112,0,125.0328697,0,2.36478753,0,33.81358631,0,-6.807131739,0,-19.28541159,0,-30.4880544,0,-95.93601033,0,774.9355937,0,-2109.815552,0,-23.6197373,-53.63819265,170.6040001,252.9675159,51.48643872,113.7660832,-44.74756197,-28.42021655,-34.68024918,-50.95836081,-43.84693668,-47.45203515,-67.37979129,-64.70666709,-49.93047679,-61.50167959,-71.20042356,-995.4118919,69.94251825,486.6707852,585.5127073,-941.2743933,-1135.206829,-530.4632155,-505.2294596,66.37721356,109.8023065,122.3812688,138.9062505,247.0096657,245.4893535,101.2213225,139.0391729,-45.26154686,80.33104134,-15.25983458,21.73838356,-678.2396693,-10.87146285,215.4078744,4.444737801,43.4386572,-175.4293317,-128.5836919,-11.4391394,2.105847572,24.44372671,261.4995789,-62.72423176,32.11076913,607.09948,-14.37326122,-2067.857626,-245.8771707,-630.6274366,-312.6180283,107.3378387,55.73858859,109.9174523,401.8698901,14.65193334
"365","000876.SZ","农林牧渔",0,0,0,0,0,0,0,0,0,0,0,54.06398693,0,0,0,2.848745991,0,0,0,-7.651592282,0,-17.60381024,0,9.587992165,0,-30.42449609,0,18.02332203,0,161.4187657,0,-5.504924754,0,17.3453455,0,220.779469,0,11.83540746,0,44.10727304,66.1068766,52.9841089,43.28875241,23.90173571,16.51107439,27.79081996,17.27008675,24.3909286,77.84804155,12.69035612,-1.269738639,24.03140724,-5.199741042,30.93543877,39.30034936,24.02643368,15.5761108,41.06704964,43.73824217,24.67234265,1.098452277,11.58453794,9.306427003,-24.37091846,43.64443236,41.84359946,37.58914705,83.77516895,54.69975453,12.21045592,18.49574221,50.20464554,58.10413969,74.69938017,93.5706477,80.56920982,5.163862317,-13.40608965,-30.56897773,-34.39798024,-13.41472086,-10.8465061,-2.465162811,13.5582307,-40.22407678,12.60666686,15.04252315,4.895054541,94.10092224,25.83678023,15.59109698,13.24896326,20.13366399,15.79475277,12.137529,5.837678036,-6.033124815,-20.80291184,-8.389794274,-6.392102371
"379","000893.SZ","农林牧渔",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10.84646729,0,0,0,-0.91934702,0,0,0,14.54122272,0,0,0,-57.03353518,0,-201.251003,0,-832.2684962,0,103.9635664,0,36.18962366,0,126.1260933,0,107.0099191,-313.615448,-73.20489374,-251.2220775,-717.7218654,104.9308145,165.1162714,170.1047858,173.4840499,324.3844612,49.98957994,158.5962538,-3.220610539,854.2094569,145.4885095,86.58856714,23.08316003,-7.166144907,14.36506196,-17.90742786,-18.61211588,8.232815802,-2.370669047,-66.45204669,-324.1185324,-154.9193342,-128.2085839,-98.36858628,37.17467757,-45.54803704,-54.43463832,-33.43881669,-6.534295634,-44.31659131,-243.0397162,-175.2556289,-200.4246416,-223.7271414,103.2359652,153.0014831,120.4787324,148.3355438,1209.220326,92.79052725,279.2365445,-2382.789663,-1125.337327,-424.9330873,-414.1801492,87.85762055,91.9838043,5.450815261,109.3093099,129.0361379,168.8926873,109.2016496,-68.71465108,-217.4184615,-248.8668652,-339.26119,-19717.57452
"393","000911.SZ","农林牧渔",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.758452815,0,0,0,61.81600837,0,0,0,-8.804329075,0,-44.63139854,0,27.70353087,0,120.8973287,0,-8.776423029,0,35.5420284,0,27.37938965,-45.18100954,5.907139623,-10.62214236,88.96381177,215.4093282,74.15950622,71.77858116,24.23065319,-92.89722936,-102.1707634,-112.8318249,-93.80833224,8093.396369,9155.536292,901.5616159,1983.985537,-74.11060743,-83.41626568,-39.9981393,-21.95476911,65.26449826,261.4724876,43.58182594,-71.14598992,-186.7481125,-59.67984181,-17.09421646,253.2087222,214.9436645,79.0801142,-3.000245763,29.53616185,-43.17285223,87.31220914,70.35219808,-73.50547307,-248.0198408,-134.0987554,-214.4979111,-826.9523383,-51.39213099,-190.8925751,-2.07859716,120.5839042,35.8775884,63.6669398,10.32508355,-503.5501228,139.0949527,155.7833659,131.8429805,119.2733505,-621.682674,-875.2946043,-698.5169967,-63.57598312,100.189504,62.72525647,60.11429203,-1129.813414
"409","000930.SZ","农林牧渔",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.32671293,0,0,0,24.34527176,0,0,0,15.33685994,0,32.11193391,0,111.6686206,0,84.56042825,0,36.01433577,0,-29.87390494,0,3.74605938,49.87095714,45.5948305,23.55045009,-8.266521744,58.95738797,55.50027659,26.36699184,2.301018007,-36.22717245,21.86031194,32.7373766,45.54398654,19.03777378,6.089002862,-15.03606519,-314.6248808,-512.6463957,-431.1992168,-451.3263595,105.1606029,127.6642299,125.1652491,129.0265985,96.05703292,-27.48533387,79.68937821,86.55788484,727.0318502,79.66471363,-7.260492431,2.158594934,-3.028612473,78.02041454,46.21928373,31.78838171,33.14160871,-38.72227661,-53.71854583,-57.17661478,-44.24620946,-37.72352781,-45.75648458,-45.06503136,-74.94657858,-39.90580115,-32.76743646,-46.9945914,-37.41051845,-1072.78558,-1203.845794,-1682.036729,-4832.209864,81.39249475,102.075353,119.5524888,108.912756,315.4482916,3005.120919,104.3928137,87.37714015
"439","000972.SZ","农林牧渔",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,524.0674686,0,0,0,23.2838426,0,0,0,2.430984499,0,-99.24015417,0,-21.88894777,0,821.1053622,0,130.2026429,387.1063626,30.45715534,27.92231588,103.322719,-104.5247091,-19.76009181,-8.380132521,-33.68774693,12013.0078,48.22508589,68.11646667,2.158522884,-1.074556147,13.56539428,-14.64064394,49.88114401,-13.85681317,19.98861312,-1.122019742,-34.1472258,298.4592232,92.47782375,48.87230621,-231.583089,-41.62637629,-31.02750572,-48.41920944,106.3227376,-212.90482,-795.5912379,-1597.108079,-12812.63372,-144.2131618,16.75925215,-22.97200149,-196.8601302,-27.04709458,-1.68243642,-4.536672184,100.4492382,39.14959558,47.86393628,53.72166235,-8023.097805,86.7482478,72.79923664,67.92065328,123.0707408,-38.89694851,-3.825649242,-34.42968876,-154.6942569,-119.6761286,-88.59390063,-30.02031731,-354.1440336,6.060227227,28.9808666,259.6689483,137.3067792
"459","000998.SZ","农林牧渔",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.81211497,0,0,0,0.372827069,0,0,0,39.36158805,0,137.0149452,0,17.10220467,0,-31.913713,0,-55.99604408,66.65547582,0.109471014,-21.0962897,86.71171627,-38.41811336,14.44910387,33.43509445,43.17981193,58.64269305,69.25869471,15.05716062,4.749053202,13.56387733,-5.920116187,15.20026991,7.70036364,3.380191327,-19.15543061,-50.08301624,-18.11881804,400.2760159,148.8312778,165.7645954,38.437903,-74.60014613,-53.2971354,-97.20777759,22.42720739,135.6603035,34.8340127,2047.48175,66.71979906,87.05039994,123.2956619,131.174012,68.9424759,44.20459938,39.97869781,159.8404115,23.96632507,22.78835244,14.51285669,-36.68491335,7.484142481,-21.4986039,-26.63199393,-9.974416997,7.426753538,6.320698453,39.57838842,14.12423574,43.45320674,5.913566677,-16.60936884,-23.65328077,7.348346063,80.52765181,107.768638,217.0830609,77.85997888
"505","002041.SZ","农林牧渔",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.99315079,0,0,0,-1.32170394,-5.953185113,4.355417728,-11.36421776,7.157006917,-10.53430118,-62.61631656,-82.40239193,-75.55416139,-32.26162409,-34.67482438,-7.398782151,80.98499908,138.4268768,296.9869089,284.2343327,58.53883232,17.81425283,29.1327237,88.36405616,199.5558433,92.60158697,92.41272682,105.4074823,108.4572117,-35.94858507,-35.614735,-33.73527523,7.341548958,-69.55618576,-39.91364181,-47.92295869,2.667160986,235.7648682,152.3458634,184.413575,33.32643546,28.22652121,-14.47494552,-10.83917961,-5.219315881,-32.01153605,8.65963799,15.29777376,-8.225439382,43.3765475,23.56609915,29.81223666,6.336918942,-65.2554399,-56.63914328,-65.58778055,-73.89483769
"533","002069.SZ","农林牧渔",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103.9150128,0,0,0,107.7219965,0,0,15.89907336,11.69907473,-29.50109835,-16.30586333,0.780582751,-0.080235332,-56.76372265,-50.8423929,-19.9488028,-25.38725578,-7.229210011,15.62904014,27.77244583,56.50002051,463.8606465,333.4554668,135.7123913,115.6205767,17.87750268,27.06056907,5.466455615,17.71752973,-27.47647829,-27.27548277,-29.31492812,-79.16748058,-64.87390859,-65.76194491,-70.52082386,-6.065463824,-3.101424899,-10.6564188,-1382.031178,-1328.347859,-130.7834285,-93.39603397,100.3860873,79.46490083,-7.063388444,99.80743614,872.2223566,130.8486052,129.9866558,373.5164226,152.7773501,-1058.55784
"550","002086.SZ","农林牧渔",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.6617414,0,0,0,16.85079186,0,0,23.3390479,13.73979948,9.948522159,22.99545064,23.5628886,21.62164893,16.06026859,16.25408539,17.65175097,19.64717695,2.256562766,22.28126689,21.89983693,20.67052801,28.0435064,34.02608453,30.41298073,32.59689348,29.74249035,31.18312182,31.70774536,29.81781843,16.14900567,15.31751761,20.95464591,4.205040148,3.713320794,2.813096803,-8.110406291,-42.17747952,-76.27698902,-7.859809901,-38.01390057,-25.91839429,-3.998725659,12.72424824,12.94405005,15.45196239,21.89403857,30.63206757,27.93411221,46.73745262,-24.72621222,92.2717075,89.87377766,64.29812563
"564","002100.SZ","农林牧渔",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.03833038,0,0,0,30.73831443,0,0,24.53396523,41.93435792,35.5643545,13.81004668,15.71683252,28.34410768,28.64061364,8.849207057,9.891047779,45.82422256,17.78908922,82.44287735,120.8632281,39.61477463,10.59824288,3.415173089,1.234190423,9.13069781,32.31547061,12.52053592,1.642714087,-28.6380518,28.88082856,23.42947212,5.699271648,35.60691234,25.10473454,14.67394713,26.42445036,58.34851409,-5.319547109,17.09195171,20.81632929,22.27408714,10.76422368,40.02228898,44.72503747,6.495277607,102.6611912,37.42801811,50.79452379,59.25709718,10.45213297,-1.923923863,0.331087844,3.563620249
"588","002124.SZ","农林牧渔",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,294.7926222,0,0,0,11.74910747,0,0,0,-26.98865486,33.73025862,265.6064745,52.10190339,34.6103953,13.25655622,2164.344075,268.873938,249.3109884,-4.019583459,-107.2068575,-55.90409983,-39.82728194,126.3925347,509.7975887,-15.8129114,-23.4557424,-1128.689099,-136.1246721,-36.3667475,4.017207031,104.8599354,248.0133395,111.8686739,14.88219165,-2531.855311,-151.8067208,-9.248414602,144.1407626,-39.42487953,-356.7857999,-67.74348376,-78.27390605,-9.590743972,24.86746245,247.7956446,295.8248681,352.2313661,944.4944442,565.6344009,246.4020963,-23.80108714,-33.46212729,-35.84260223,-30.43715759
"621","002157.SZ","农林牧渔",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.972745041,0,0,0,41.6619637,0,73.94288203,65.85571248,18.07081524,144.9085835,148.3301641,58.30551138,17.1808274,7.882320159,1.013476784,15.64972785,27.48016007,-28.04965805,-7.105437891,11.34109597,28.49444322,128.4278133,138.954302,156.3723022,120.6919769,56.03493688,22.32890227,-24.78059118,-56.72511712,-80.29819203,-107.6567701,-98.59068335,-138.8413452,-1124.409723,-2318.155274,-8865.362789,228.197196,22.37812311,95.16463431,256.7839051,265.4000346,426.5864713,3407.229572,412.3038721,209.1081026,-41.7943722,-52.46488739,-54.38339071,-46.40098482
"684","002220.SZ","农林牧渔",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.5382309,0,0,0,91.23036083,0,0,0,96.66363589,62.16261512,51.0379089,34.53650279,41.764652,-57.9059049,-42.14207458,-25.01699154,12.08358912,298.8320632,122.6687094,110.1646407,61.45185514,-14.87989195,28.64495162,54.4012291,39.55926064,20.98031055,11.41167192,5.484877105,-11.40842557,-7.847607213,4.992719942,5.181960381,-11.79541502,-6.388545652,5.371296018,8.432081742,1.113198632,4.055632985,3.899841848,7.380842061,15.25633085,15.31931606,10.59177974,8.213072031,16.76684756,5.181046754,1.263519038,-26.63531751,-26.30144768
"698","002234.SZ","农林牧渔",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.62687806,0,0,0,114.2173004,46.23048482,13.70416932,6.774025615,-41.81070913,-106.3068719,-158.0451226,-118.8743246,-182.6456024,-849.3302398,11.39098103,294.285207,215.2559901,342.3975173,432.7578646,622.6902653,281.6003995,-69.45230103,-84.11752418,-126.0247989,-143.6920196,-429.4191693,-665.5044343,-175.1405251,-198.0287977,-2.323171214,115.3305044,140.3128802,125.5434162,-4.664894873,-1227.204781,-493.3755456,-603.3292439,265.7692083,214.7440984,215.4666839,148.7405796,-209.5453003,-218.1255509,-215.8065462,-288.9272935
