"","证券代码","申万一级行业","净利润..报告期..1993一季..报表类型..合并报表..单位..元","净利润..报告期..1993中报..报表类型..合并报表..单位..元","净利润..报告期..1993三季..报表类型..合并报表..单位..元","净利润..报告期..1993年报..报表类型..合并报表..单位..元","净利润..报告期..1994一季..报表类型..合并报表..单位..元","净利润..报告期..1994中报..报表类型..合并报表..单位..元","净利润..报告期..1994三季..报表类型..合并报表..单位..元","净利润..报告期..1994年报..报表类型..合并报表..单位..元","净利润..报告期..1995一季..报表类型..合并报表..单位..元","净利润..报告期..1995中报..报表类型..合并报表..单位..元","净利润..报告期..1995三季..报表类型..合并报表..单位..元","净利润..报告期..1995年报..报表类型..合并报表..单位..元","净利润..报告期..1996一季..报表类型..合并报表..单位..元","净利润..报告期..1996中报..报表类型..合并报表..单位..元","净利润..报告期..1996三季..报表类型..合并报表..单位..元","净利润..报告期..1996年报..报表类型..合并报表..单位..元","净利润..报告期..1997一季..报表类型..合并报表..单位..元","净利润..报告期..1997中报..报表类型..合并报表..单位..元","净利润..报告期..1997三季..报表类型..合并报表..单位..元","净利润..报告期..1997年报..报表类型..合并报表..单位..元","净利润..报告期..1998一季..报表类型..合并报表..单位..元","净利润..报告期..1998中报..报表类型..合并报表..单位..元","净利润..报告期..1998三季..报表类型..合并报表..单位..元","净利润..报告期..1998年报..报表类型..合并报表..单位..元","净利润..报告期..1999一季..报表类型..合并报表..单位..元","净利润..报告期..1999中报..报表类型..合并报表..单位..元","净利润..报告期..1999三季..报表类型..合并报表..单位..元","净利润..报告期..1999年报..报表类型..合并报表..单位..元","净利润..报告期..2000一季..报表类型..合并报表..单位..元","净利润..报告期..2000中报..报表类型..合并报表..单位..元","净利润..报告期..2000三季..报表类型..合并报表..单位..元","净利润..报告期..2000年报..报表类型..合并报表..单位..元","净利润..报告期..2001一季..报表类型..合并报表..单位..元","净利润..报告期..2001中报..报表类型..合并报表..单位..元","净利润..报告期..2001三季..报表类型..合并报表..单位..元","净利润..报告期..2001年报..报表类型..合并报表..单位..元","净利润..报告期..2002一季..报表类型..合并报表..单位..元","净利润..报告期..2002中报..报表类型..合并报表..单位..元","净利润..报告期..2002三季..报表类型..合并报表..单位..元","净利润..报告期..2002年报..报表类型..合并报表..单位..元","净利润..报告期..2003一季..报表类型..合并报表..单位..元","净利润..报告期..2003中报..报表类型..合并报表..单位..元","净利润..报告期..2003三季..报表类型..合并报表..单位..元","净利润..报告期..2003年报..报表类型..合并报表..单位..元","净利润..报告期..2004一季..报表类型..合并报表..单位..元","净利润..报告期..2004中报..报表类型..合并报表..单位..元","净利润..报告期..2004三季..报表类型..合并报表..单位..元","净利润..报告期..2004年报..报表类型..合并报表..单位..元","净利润..报告期..2005一季..报表类型..合并报表..单位..元","净利润..报告期..2005中报..报表类型..合并报表..单位..元","净利润..报告期..2005三季..报表类型..合并报表..单位..元","净利润..报告期..2005年报..报表类型..合并报表..单位..元","净利润..报告期..2006一季..报表类型..合并报表..单位..元","净利润..报告期..2006中报..报表类型..合并报表..单位..元","净利润..报告期..2006三季..报表类型..合并报表..单位..元","净利润..报告期..2006年报..报表类型..合并报表..单位..元","净利润..报告期..2007一季..报表类型..合并报表..单位..元","净利润..报告期..2007中报..报表类型..合并报表..单位..元","净利润..报告期..2007三季..报表类型..合并报表..单位..元","净利润..报告期..2007年报..报表类型..合并报表..单位..元","净利润..报告期..2008一季..报表类型..合并报表..单位..元","净利润..报告期..2008中报..报表类型..合并报表..单位..元","净利润..报告期..2008三季..报表类型..合并报表..单位..元","净利润..报告期..2008年报..报表类型..合并报表..单位..元","净利润..报告期..2009一季..报表类型..合并报表..单位..元","净利润..报告期..2009中报..报表类型..合并报表..单位..元","净利润..报告期..2009三季..报表类型..合并报表..单位..元","净利润..报告期..2009年报..报表类型..合并报表..单位..元","净利润..报告期..2010一季..报表类型..合并报表..单位..元","净利润..报告期..2010中报..报表类型..合并报表..单位..元","净利润..报告期..2010三季..报表类型..合并报表..单位..元","净利润..报告期..2010年报..报表类型..合并报表..单位..元","净利润..报告期..2011一季..报表类型..合并报表..单位..元","净利润..报告期..2011中报..报表类型..合并报表..单位..元","净利润..报告期..2011三季..报表类型..合并报表..单位..元","净利润..报告期..2011年报..报表类型..合并报表..单位..元","净利润..报告期..2012一季..报表类型..合并报表..单位..元","净利润..报告期..2012中报..报表类型..合并报表..单位..元","净利润..报告期..2012三季..报表类型..合并报表..单位..元","净利润..报告期..2012年报..报表类型..合并报表..单位..元","净利润..报告期..2013一季..报表类型..合并报表..单位..元","净利润..报告期..2013中报..报表类型..合并报表..单位..元","净利润..报告期..2013三季..报表类型..合并报表..单位..元","净利润..报告期..2013年报..报表类型..合并报表..单位..元","净利润..报告期..2014一季..报表类型..合并报表..单位..元","净利润..报告期..2014中报..报表类型..合并报表..单位..元","净利润..报告期..2014三季..报表类型..合并报表..单位..元","净利润..报告期..2014年报..报表类型..合并报表..单位..元","净利润..报告期..2015一季..报表类型..合并报表..单位..元","净利润..报告期..2015中报..报表类型..合并报表..单位..元","净利润..报告期..2015三季..报表类型..合并报表..单位..元","净利润..报告期..2015年报..报表类型..合并报表..单位..元","净利润..报告期..2016一季..报表类型..合并报表..单位..元","净利润..报告期..2016中报..报表类型..合并报表..单位..元","净利润..报告期..2016三季..报表类型..合并报表..单位..元","净利润..报告期..2016年报..报表类型..合并报表..单位..元","净利润..报告期..2017一季..报表类型..合并报表..单位..元","净利润..报告期..2017中报..报表类型..合并报表..单位..元","净利润..报告期..2017三季..报表类型..合并报表..单位..元","净利润..报告期..2017年报..报表类型..合并报表..单位..元"
"97","000428.SZ","休闲服务","","","","11,608,541.0000","","",NA,"18,317,672.0000","","","","18,780,411.0000","6,370,534.0000","13,000,880.6600","","61,311,994.6000","","35,503,125.9000",NA,"79,283,263.8700","","27,930,142.5800","","53,431,469.5000","","16,477,681.8900",NA,"35,791,183.7000","","18,416,748.5300","","39,136,691.3500","","26,874,055.7500","","52,183,522.9200","10,036,010.0000","25,177,257.4600","32,221,346.5700","37,141,507.4300","10,798,283.9900","13,138,255.6300","21,355,808.6000","25,752,109.1600","6,767,523.2400","15,975,025.4700","23,225,634.1200","34,930,279.2900","5,575,998.3800","14,253,465.5600","16,017,301.9600","13,145,267.9100","5,432,628.1700","21,998,707.9900","41,053,468.9200","91,989,544.6600","20,270,955.5300","119,566,334.4600","141,612,189.2400","171,644,106.9300","19,334,775.3600","112,382,847.8200","112,148,675.0500","132,620,600.1500","41,222,111.3800","81,848,254.8500","98,488,105.4500","153,171,310.7700","19,415,495.0300","86,232,778.8700","119,838,321.5700","143,497,744.2800","22,778,988.6800","51,139,808.8800","87,228,062.0700","133,494,528.9000","24,406,471.0100","49,181,805.6000","101,915,421.1600","116,424,279.5400","24,059,020.6000","63,992,502.9400","153,210,198.2900","111,332,397.5500","-31,763,624.6000","-38,584,240.5000","14,259,964.5100","-95,965,834.2700","-51,977,788.5500","25,271,198.7100","12,105,581.7300","-34,992,299.7000","-82,619,446.2500","-133,976,571.6200","-196,521,481.1900","-437,805,998.1200","-92,692,968.3700","-144,954,951.0000","-226,181,957.2900","-70,695,402.2700"
"99","000430.SZ","休闲服务","","","","3,637,402.9700","","",NA,"11,000,642.4400","","","","20,878,921.2100","2,724,882.2000","","","19,209,173.7500","","15,076,740.3600",NA,"21,094,656.6700","","2,428,157.0500","","26,508,927.0000","","2,581,519.2000",NA,"1,718,407.7100","","-16,493,094.2400","","-105,629,358.6500","","-16,455,478.5500","-2,030,100.0000","17,064,441.4800","796,551.8800","9,694,975.8000","15,894,813.9600","19,821,850.8100","2,031,833.3400","2,771,591.0000","14,032,514.3500","18,274,957.9100","1,588,808.0300","4,283,548.6900","14,946,688.3300","2,532,147.7200","-7,110,306.7900","-12,833,740.6200","-11,144,956.0100","-68,065,465.9200","-44,552,227.9700","-62,699,351.4900","-48,176,934.1500","-121,418,680.6400","-8,417,693.7400","-2,999,261.5000","1,659,030.5200","755,179.8700","-11,643,570.1000","6,288,528.7300","6,890,192.0500","-33,979,034.6600","-12,009,824.2700","-16,527,158.0800","-9,696,577.0100","-47,343,974.6100","-4,913,363.9600","-874,002.3100","10,125,365.1900","18,664,647.1500","-12,936,687.6600","20,101,323.3400","70,234,475.4500","89,565,345.5600","-7,391,146.0400","32,288,861.0500","84,398,175.3400","101,301,088.2700","-16,558,576.6200","10,629,116.6900","46,585,725.1300","52,413,753.2400","-7,400,495.5500","19,642,936.6500","64,636,979.6600","60,042,288.9300","-4,790,158.0200","48,454,988.2200","130,630,121.4900","114,337,097.4600","2,117,121.7000","35,189,644.5900","96,412,747.5800","60,441,744.2300","10,615,304.3000","38,606,592.8500","70,004,950.4000","66,024,508.8400"
"120","000524.SZ","休闲服务","","","","42,819,750.8100","","33,497,023.0000",NA,"55,528,969.0800","","32,208,649.0000","","56,689,105.0600","","18,269,248.5400","","53,861,561.4200","","31,939,377.4400",NA,"70,436,779.0300","","27,037,507.7100","","44,038,237.6700","","13,083,010.9900",NA,"23,667,802.1000","","15,794,613.1700","","20,425,763.1700","","6,887,014.1600","","-98,137,813.2800","716,687.4000","7,963,404.4400","6,048,327.9000","8,658,248.3900","-20,410,529.9000","-25,703,305.4500","-49,625,986.3700","-90,953,694.1200","-10,637,534.6000","10,346,038.0900","4,198,188.5500","34,274,278.1000","-7,968,769.0700","12,313,525.1300","1,306,536.8200","36,924,035.9500","-7,114,922.9500","12,105,008.4400","7,125,631.5000","24,467,574.8200","-9,245,825.2400","15,358,512.4300","7,401,916.5400","24,944,118.8900","-6,071,653.4100","1,792,382.6000","-11,635,911.6300","4,248,030.4300","-11,174,890.2100","-18,015,744.5400","-27,521,310.8700","-52,545,974.5200","-696,298.9100","1,983,020.9400","3,298,565.9100","6,773,465.0700","4,419,039.0400","10,024,244.7300","14,344,162.8600","20,476,288.1900","8,279,718.7500","17,065,083.5700","24,773,417.9400","30,972,030.5200","8,299,307.5200","17,320,249.5100","25,165,268.8200","34,421,161.5800","4,117,066.4500","12,661,606.0600","23,485,290.9100","36,367,314.5900","7,193,660.1800","23,547,539.9100","29,545,236.7800","39,231,704.1800","6,534,162.4700","21,264,538.3400","29,110,705.9800","30,614,872.4400","35,716,011.5900","84,065,423.0500","148,020,571.8500","185,186,903.8800"
"188","000610.SZ","休闲服务","","","","9,720,360.0000","","",NA,"12,078,916.0000","","","","16,029,772.4100","2,557,612.0000","8,679,920.0400","","21,862,540.4100","","17,966,653.4100",NA,"23,007,286.9200","","10,542,638.1600","","23,828,470.9000","","9,633,086.2900",NA,"15,565,682.6400","","6,912,962.8600","","16,600,560.8200","","283,554.7400","","1,119,229.7500","45,943.7100","2,411,561.6200","4,383,414.6500","6,100,594.9500","117,612.8600","-3,544,582.7300","-1,195,436.3400","1,237,202.7600","4,248,455.2700","5,857,196.2100","9,074,960.5800","23,741,270.7800","1,065,116.2100","14,148,251.3100","16,068,057.5800","26,244,022.9900","1,149,611.5700","8,678,545.9600","9,523,080.4500","8,414,936.2100","1,401,394.0500","8,543,162.9200","9,744,392.6500","9,336,817.5700","576,944.1900","5,124,429.3500","6,652,802.6200","10,598,745.1900","-6,838,556.3500","-3,454,916.5300","2,142,563.0100","-2,688,401.1500","-2,105,118.5500","195,891.3300","18,983,866.0800","27,205,058.1100","6,203,780.9500","18,809,936.9500","21,619,225.9000","27,535,771.6200","28,463,982.6700","24,347,174.7700","22,223,881.0200","21,149,279.0000","-1,386,913.1300","-6,544,908.8700","-6,587,004.7200","8,522,291.7000","-8,874,186.0500","-12,838,629.2300","-12,122,601.6700","-20,812,561.5500","-8,858,473.8600","-9,001,181.5600","-11,932,961.6500","8,604,700.8400","-8,244,015.8400","2,959,560.0200","549,328.1500","9,097,388.7600","-5,347,160.8200","-8,663,348.6000","-13,952,179.9000","-20,125,255.5700"
"191","000613.SZ","休闲服务","","","","28,007,357.0400","","",NA,"32,824,479.7700","","","","40,849,650.6700","","","","59,218,735.5100","","22,016,095.4100",NA,"26,135,844.6400","","1,636,042.8200","","-54,453,717.5200","","-10,318,621.6100",NA,"-51,536,404.0800","","-43,367,197.2100","","-61,069,749.7500","-3,850,800.0000","-12,904,696.3700","-18,871,800.0000","1,782,231.2400","151,800.0000","107,472.4400","121,935.7800","227,182.8900","-1,630,141.7000","-7,945,524.4200","-12,047,148.5300","-54,752,081.2700","-1,245,004.0300","-5,185,303.9500","-10,127,001.7000","-14,212,768.2800","-454,843.3300","-3,134,442.4000","-5,782,923.9200","7,494,406.8500","-1,103,060.4300","-5,602,691.9000","-12,050,556.0000","-18,633,733.1900","-143,493.4000","-2,479,001.4100","138,524,052.0600","139,158,744.2000","2,964,606.3600","2,057,440.1300","-921,776.5200","431,855.3700","559,151.7000","-2,239,209.5000","-3,200,702.8500","-2,996,641.5700","1,041,368.0600","501,612.2000","-1,080,214.3500","680,955.6500","723,602.2400","-1,635,132.9100","-5,452,841.7800","-5,281,228.5000","986,380.6200","589,416.2500","-519,063.4400","2,126,042.0000","879,794.0400","-481,971.5100","-2,290,798.3900","-2,199,319.9600","505,793.5500","-848,458.9600","-1,736,587.9700","2,503,486.4700","-112,934.0300","-3,391,966.6400","-6,446,202.6400","-7,477,866.4000","1,448,307.9100","172,122.5200","-1,663,497.6500","-2,661,052.4900","2,410,257.2300","1,719,253.8000","241,086.9700","2,858,998.6600"
"269","000721.SZ","休闲服务","","","","8,446,919.3600","","",NA,"12,779,694.3000","","","","13,470,926.2900","","","","17,107,620.6900","","9,859,926.1600",NA,"30,474,277.6900","","8,980,243.5700","","22,108,438.0300","","8,825,557.1900",NA,"1,507,505.3100","","5,327,539.5600","","3,663,952.0800","","7,345,793.8000","12,730,044.6600","20,957,516.5400","2,795,946.7100","8,191,602.6500","11,258,189.0700","17,880,576.8500","3,304,642.9400","961,760.7200","9,484,144.1000","21,904,243.8000","3,928,258.7200","8,783,523.2800","13,273,577.1500","19,950,597.4400","3,885,555.1300","9,206,969.4800","13,776,868.9400","20,510,503.6400","3,311,627.1100","8,285,882.7000","13,475,199.5700","11,309,607.5000","3,133,702.3500","9,172,173.6800","12,065,859.3000","12,178,648.0800","3,841,311.0300","9,280,329.7700","13,544,239.1300","14,619,915.8300","3,723,410.5200","8,961,935.7500","12,535,922.1000","48,190,074.6300","3,928,010.3900","7,471,649.1800","12,772,080.4500","36,602,861.4300","26,221,211.4900","31,190,917.2200","38,584,002.5000","38,121,282.7500","4,153,815.5300","9,406,891.7800","16,662,729.9300","16,256,556.6300","3,781,389.2300","9,531,940.0500","16,051,363.0800","16,193,991.0200","5,730,515.6300","3,162,268.0700","6,779,010.7700","12,118,979.2300","-3,575,931.9200","-4,079,072.1300","-10,291,430.3100","-33,109,021.0000","-12,608,653.2800","20,800,961.0900","18,250,539.7200","9,809,803.8300","-8,605,466.8200","-1,925,850.1400","-4,316,044.4500","-12,852,678.5300"
"316","000796.SZ","休闲服务","","","","","","",NA,"7,227,467.8900","","","","8,167,090.5200","","","","11,902,233.7700","","13,672,372.7200",NA,"34,175,031.0800","","13,834,064.5300","","53,039,496.0000","","17,611,035.1400",NA,"41,017,378.9200","","15,460,312.0900","","46,448,454.2300","","21,382,455.8000","","32,684,875.7900","4,901,111.1000","13,031,848.3600","19,582,048.9100","22,091,198.9900","3,943,561.0800","7,157,980.6200","10,473,628.3500","13,693,714.9000","5,621,559.1900","9,026,831.9800","11,248,583.6800","1,590,902.6000","3,317,301.1100","5,334,418.4900","6,772,416.5700","-107,346,965.3700","2,058,536.4500","4,907,212.5300","2,441,641.0300","8,886,177.4800","2,331,513.5200","-528,445.6000","7,423,749.5000","4,483,265.4400","9,337,935.3200","2,130,117.0700","1,142,034.2700","6,436,355.5600","8,354,426.1500","5,190,217.1500","3,164,314.3100","34,057,075.5900","12,298,982.3500","19,967,520.6300","28,855,142.2000","46,511,862.3700","8,320,676.0500","14,560,468.6500","22,196,011.1900","30,400,440.2300","12,383,114.0000","16,280,919.3900","27,653,249.0600","28,926,937.3300","14,300,060.2500","21,589,519.5100","30,881,252.9100","64,647,674.5900","17,116,387.2200","23,449,406.5800","30,866,793.5800","57,967,630.8100","15,972,118.9800","26,970,945.5500","185,206,615.1900","228,733,270.8800","25,473,150.5400","71,378,586.1600","258,323,433.5800","240,622,743.1100","34,764,877.2900","156,391,538.6600","377,039,742.1700","243,844,855.1300"
"361","000863.SZ","休闲服务","","","","","","",NA,"14,288,366.1300","","","","16,773,371.2500","","","","13,044,067.1300","","5,539,906.7900",NA,"15,878,148.6400","","7,733,406.9000","","20,182,932.7900","","8,258,896.1300",NA,"20,648,814.8300","","19,454,118.9500","","40,050,617.4200","","18,701,854.0800","","34,167,926.5800","2,122,592.7600","11,382,286.4000","11,245,786.3100","16,746,257.0600","1,071,565.0900","7,668,037.7000","10,728,419.6500","18,316,548.7100","1,672,814.9500","4,598,289.9400","-4,164,677.3100","-182,697,701.2100","-19,247,224.7000","-56,311,358.1200","-73,086,693.9800","-443,043,624.9100","-18,547,132.9200","-49,393,492.1200","-63,457,312.6100","-770,441,732.0300","-16,047,430.1600","-29,616,942.8500","-48,487,022.6500","31,557,092.7000","22,113,116.3200","55,893,134.7500","-24,939,801.5700","3,220,275.7200","1,235,008.4600","-23,045,205.3700","-39,352,711.1900","7,426,948.7700","5,121,351.5300","3,956,450.6100","-8,468,186.2800","4,964,195.4000","-6,479,405.6600","-19,002,304.2100","-31,095,058.1100","231,642,962.4900","-21,558,089.8000","99,469,951.3500","129,787,676.9200","411,140,468.6700","854,688.9500","57,235,174.2200","23,095,821.6800","454,169,035.7400","11,204,758.7700","25,684,387.4900","12,479,450.0700","118,793,773.9700","-73,892,379.7800","75,498,243.1100","-5,953,636.3300","79,587,768.4300","408,935,633.2100","448,332,019.5700","427,642,487.0200","939,205,690.9200","75,428,834.4800","72,582,651.5000","31,389,133.2500","224,766,794.6000"
"375","000888.SZ","休闲服务","","","","","","",NA,"28,642,020.3600","","","","36,460,465.4000","","","","42,923,641.9400","","",NA,"51,527,993.6200","","16,588,182.8000","","36,888,982.6100","","14,381,797.3900",NA,"25,796,610.3500","","6,736,433.7300","","32,641,013.0300","","8,710,778.0300","","32,784,873.2300","-7,999,020.2100","5,030,849.1600","23,311,391.1300","26,454,816.8600","-7,683,468.3900","-4,044,245.2800","21,350,807.8700","32,233,525.7300","-2,797,565.3800","13,451,148.5600","44,360,107.9500","45,677,636.7200","-5,243,378.1700","9,847,407.5800","39,510,271.6300","38,056,200.4600","-5,793,804.3500","10,060,559.3000","41,520,423.3500","40,898,990.0900","-6,878,147.8500","12,156,405.8500","43,985,692.7500","46,054,365.9600","-5,999,155.8200","-18,772,128.1000","5,332,722.1000","21,419,877.4100","-3,836,898.6400","13,798,746.9300","64,013,035.2400","83,682,742.5700","8,262,861.7400","34,522,816.2300","86,066,967.7600","109,747,207.4300","9,101,317.3700","34,619,998.9500","114,915,541.4600","144,755,512.0800","9,568,486.1700","51,234,902.2700","127,323,788.0300","188,752,478.1000","6,832,572.3300","28,960,781.5300","109,871,512.2900","113,022,661.8400","9,585,032.5100","53,161,695.9400","140,438,542.5200","188,018,366.3300","2,121,744.0000","53,428,844.9900","138,742,664.0400","190,938,776.6100","14,820,251.1000","57,152,401.0300","140,922,341.5800","186,937,945.9300","16,511,585.0700","62,856,803.7900","151,351,595.8300","196,426,121.4700"
"444","000978.SZ","休闲服务","","","","","","",NA,"","","","","","","","","","","",NA,"70,848,400.3100","","","","73,601,543.7200","","10,709,661.4300",NA,"32,831,802.1400","","9,959,552.3400","","36,283,641.7600","","18,955,755.3900","","45,604,523.5000","2,386,644.2200","20,186,325.2700","36,544,609.0300","47,978,866.6100","5,216,636.2600","916,484.7600","7,626,023.2200","10,097,542.1400","193,644.5500","12,302,195.8300","28,384,253.2200","36,553,563.2300","832,009.7700","13,759,396.8700","28,436,544.0100","39,074,309.3100","3,071,408.7900","21,147,262.5500","41,978,684.7400","46,851,209.0200","2,204,772.6900","21,649,604.6800","42,638,681.6300","54,661,147.7800","-8,049,102.4300","12,783,107.6600","21,783,251.9800","22,699,272.3300","-2,411,596.6900","10,651,655.4700","24,056,766.4900","32,958,105.8800","-6,384,129.1800","4,374,347.4400","25,138,091.8400","68,276,988.1900","-17,927,915.0600","11,329,166.0300","43,156,635.6700","62,099,652.2600","-15,956,653.2900","8,894,544.4900","34,035,445.0400","56,007,711.5800","-30,200,506.3400","-24,959,131.7900","-8,631,034.9300","844,329.7800","-29,713,361.5600","-38,963,527.4300","-17,176,011.0300","28,976,368.2900","-16,123,355.7500","-9,891,233.0800","21,483,969.8000","17,789,363.8600","-14,290,657.4000","-2,986,306.0500","37,696,589.9400","-46,745,942.9500","-4,682,719.7800","22,317,297.3500","59,081,233.1900","37,860,478.9800"
"497","002033.SZ","休闲服务","","","","","","",NA,"","","","","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","21,942,202.8600","","","","37,029,993.0000","","","15,817,994.9600","24,308,708.0400","8,358,751.6300","22,287,113.5200","38,368,484.6400","43,056,182.5900","5,785,327.3900","19,267,608.1500","36,623,867.6600","45,389,265.3000","7,666,197.3800","24,883,370.9000","46,409,653.8600","53,170,846.9000","11,205,176.5700","30,285,528.5500","56,315,469.5600","71,543,379.5100","7,591,378.9200","22,560,709.5700","38,920,949.5800","48,826,981.2900","9,652,626.9300","25,031,873.6700","43,450,292.5900","45,458,073.5600","8,418,241.3500","11,089,148.7800","23,008,931.1800","20,391,250.7500","9,590,514.7500","35,029,006.9300","66,609,313.5500","175,705,908.1000","32,880,005.6100","96,385,329.2200","163,426,548.1700","195,990,558.2900","36,032,523.6500","117,031,695.9800","188,285,093.0400","197,209,216.3600","45,766,840.7300","118,785,752.1300","218,742,728.8300","240,338,091.4900","56,279,717.6200","139,300,998.7400","238,642,969.9100","248,582,855.3800","51,290,720.3900","137,786,542.0200","243,758,296.4400","255,112,818.8700","48,390,528.9500","109,543,582.1200","197,662,802.4500","216,882,875.2700"
"523","002059.SZ","休闲服务","","","","","","",NA,"","","","","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","","","","","","","","","27,041,738.9700","","","","38,877,223.2400","","17,096,647.6200","22,848,071.6000","28,286,396.1900","1,440,052.6000","16,059,817.5700","14,079,319.3100","45,541,091.1600","-1,237,413.6500","2,837,777.5200","16,640,159.4100","65,766,176.7900","-4,743,747.1000","9,780,849.7500","26,931,049.1100","60,509,267.3200","-6,287,073.1100","-11,171,233.2700","1,786,534.3000","35,478,876.9400","-8,901,038.0900","4,974,000.6400","10,902,573.1000","7,303,944.7300","-1,143,726.8400","11,720,475.8200","29,676,308.9100","31,859,170.9200","-4,334,536.0100","2,134,254.4400","29,383,345.5700","36,971,102.0900","4,405,630.3300","7,331,906.1500","33,815,096.6100","71,419,374.2200","-108,086.6100","-11,637,863.4000","-5,143,252.8300","76,800,320.9200","-10,842,430.8100","3,681,954.7800","41,985,847.9500","108,051,297.0400","-21,392,364.5500","39,412,062.1700","75,748,150.1000","88,327,575.0300","-2,359,755.6300","21,378,260.3800","46,083,246.0000","112,628,435.3900"
"623","002159.SZ","休闲服务","","","","","","",NA,"","","","","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","18,477,779.4200","","","","15,470,208.6900","","1,906,561.7600","11,447,429.2400","18,750,941.3200","-2,641,630.8400","6,330,449.3700","17,506,961.4600","24,485,378.1600","-2,858,640.2400","4,494,409.0900","11,854,964.5800","14,076,461.6300","-1,775,869.5300","4,204,740.5400","21,332,325.9500","26,317,104.2600","-11,284,419.4400","4,569,688.1900","24,616,346.1600","32,213,275.7900","-16,258,600.9500","4,291,047.7600","42,978,004.0500","43,482,430.0300","-32,339,531.1600","-21,497,243.8400","67,623,596.1300","59,110,596.0400","-32,850,836.3500","-31,104,314.7800","-11,926,463.7300","42,138,907.4600","-29,473,548.2500","-27,660,305.4900","-14,808,060.7700","-25,937,385.2600","-24,274,846.9700","-27,351,162.4000","6,324,612.0600","62,543,579.5400","-17,049,655.2700","-21,012,247.4000","3,044,808.4700","-44,129,637.3900","-30,397,588.4600","-33,785,154.6400","17,482,704.5400","5,001,827.1900"
