"","…œ –π´Àæ","…ÍÕÚ“ªº∂––“µ","X19930331","X19930630","X19930930","X19931231","X19940331","X19940630","X19940930","X19941231","X19950331","X19950630","X19950930","X19951231","X19960331","X19960630","X19960930","X19961231","X19970331","X19970630","X19970930","X19971231","X19980331","X19980630","X19980930","X19981231","X19990331","X19990630","X19990930","X19991231","X20000331","X20000630","X20000930","X20001231","X20010331","X20010630","X20010930","X20011231","X20020331","X20020630","X20020930","X20021231","X20030331","X20030630","X20030930","X20031231","X20040331","X20040630","X20040930","X20041231","X20050331","X20050630","X20050930","X20051231","X20060331","X20060630","X20060930","X20061231","X20070331","X20070630","X20070930","X20071231","X20080331","X20080630","X20080930","X20081231","X20090331","X20090630","X20090930","X20091231","X20100331","X20100630","X20100930","X20101231","X20110331","X20110630","X20110930","X20111231","X20120331","X20120630","X20120930","X20121231","X20130331","X20130630","X20130930","X20131231","X20140331","X20140630","X20140930","X20141231","X20150331","X20150630","X20150930","X20151231","X20160331","X20160630","X20160930","X20161231","X20170331","X20170630","X20170930","X20171231"
"257","000708.SZ","∏÷Ã˙",0,0,0,0,0,0,0,7.903784654,0,0,0,-26.6103735,0,0,0,4.036080543,0,0,0,33.60107935,0,-35.03375866,0,-52.81360343,0,-16.86325632,0,-44.04401152,0,-68.30310286,0,-49.07100499,0,-1.698454375,0,-11.26633032,0,-14.30041038,0,-1769.89314,71.4339465,76.41233403,282.5337145,-193.7514515,-23.42042258,92.792013,-9.691173684,163.2375776,-95.71046602,-19.81086572,-13.63746346,197.4970604,3542.091441,492.3203694,433.9897027,295.2583474,66.27793907,-12.87912863,-3.785469117,1.878607482,8.501638587,22.43989329,18.96118114,-37.92825429,-64.08445435,-46.51495474,-30.45158654,65.66585675,374.5264535,161.7363719,103.2194968,68.83971439,10.66749976,8.360106396,8.138230966,4.101944101,-48.60872158,-40.59423862,-53.90967324,-62.69291248,-31.90216526,-41.24033142,-19.09935599,-7.588363964,-18.81840628,18.68823827,34.95873078,32.92425285,32.07269286,5.421276118,-8.894178411,0.871416665,-5.094787027,4.94642162,4.018663616,8.242721101,14.89364861,30,30.16396187,34.92545706
"258","000709.SZ","∏÷Ã˙",0,0,0,0,0,0,0,0,0,0,0,-46.38959533,0,0,0,25.57813492,0,0,0,17.8229763,0,3.472783128,0,1.99319122,0,2.618745579,0,29.45280048,0,29.45269187,0,20.31434311,0,11.79491005,0,51.27499774,0,-8.466845419,0,-20.50672886,31.07874685,9.231337668,26.05995848,51.83308479,67.67269469,51.13733895,43.70847017,49.85870838,18.04632496,27.00410632,-1.509425201,-16.41779646,-70.51543284,4.075994076,34.38660344,27.22040989,396.3052139,91.59144448,68.54746652,72.13045651,51.01543916,48.43601207,35.55574874,-14.9671171,-90.26356412,-95.80164405,-87.15984979,-62.60907164,1025.18982,1439.998319,91.06696687,47.79795352,-0.453231621,16.89672773,-1.567522739,-19.5364906,-38.50310652,-61.5623192,-71.52363655,-90.43757031,-90.71655827,-82.25756471,-65.53927866,-1.281969916,443.0003905,403.0630408,306.6107849,423.0806727,-9.970554867,-15.58876298,-25.46462562,-43.99040652,-56.22754464,23.14329484,118.7099076,255.8799807,856.0089135,248.3424358,171.6236183,48.68594683
"265","000717.SZ","∏÷Ã˙",0,0,0,0,0,0,0,0,0,0,0,-45.47240879,0,0,0,21.12341445,0,0,0,55.79232454,0,-17.82051217,0,3.166762385,0,-12.0517842,0,4.149395254,0,29.22747984,0,27.03057795,0,23.07454637,0,26.53307643,0,11.36720825,0,34.94479083,315.8350146,180.7437798,159.4545415,181.233151,25.06752727,82.86439557,29.43768377,-3.409519501,-24.13308943,-49.08585422,-53.23482774,-85.63504559,-85.484359,-26.00777075,-2.206192262,211.2504261,213.7070075,65.18194822,68.36012799,95.14810621,59.14544117,-3.884827299,-23.86595536,-294.771443,-210.5858158,-149.1279217,-91.85770496,105.7521706,129.8505656,153.5911251,-237.8349418,-77.40469428,-47.26633938,-46.82459027,138.3295358,-5534.319534,-1349.186163,-1363.056091,-7300.166868,-71.46088812,110.4076761,101.4015649,107.2064699,105.199354,-1009.918631,-6805.592392,-898.2619683,-1468.155599,-37.08228988,-19.57578247,-106.5651215,-86.95910987,46.37688224,73.99818057,93.67958156,103.9078131,172.766607,383.9077379,1652.84484,2381.133909
"295","000761.SZ","∏÷Ã˙",0,0,0,0,0,0,0,0,0,0,0,-14.22706067,0,0,0,30.69721385,0,0,0,1.584959472,0,-16.46764979,0,-21.96307361,0,10.83031712,0,11.79527712,0,16.14446005,0,5.153428125,0,-20.82644651,0,-21.45077829,0,0.481792142,0,40.04852277,142.6919543,19.94658206,4.610282437,36.32209041,21.74738137,1.736265999,26.8123673,39.51370496,88.39102465,162.0206793,68.07988,-13.63897772,-47.41268689,-42.19283977,65.54617736,157.18304,207.0377564,200.2726764,37.83506951,-2.088203401,27.88507523,12.23107823,14.9120724,-89.63003939,-89.10366307,-189.6049771,-201.193742,-1035.969648,749.2533773,175.6805206,160.0122865,159.88399,-18.10356542,-13.54185636,-9.365297795,-14.0244778,-71.16241773,-75.6624391,-83.40209568,-91.26949934,16.10335382,14.65891499,113.918081,241.5275148,9.609950385,3.190127269,-19.42750943,12.67814792,-14.29588584,-23.35725996,-28.36290895,-1129.280628,-53.60896875,42.28795359,254.2527207,125.4704614,554.4006591,156.8970884,117.2487381,94.95835986
"302","000778.SZ","∏÷Ã˙",0,0,0,0,0,0,0,0,0,0,0,-13.44258385,0,0,0,-5.726129343,0,0,0,22.0658552,0,5.718780862,0,13.2709147,0,38.48205481,0,27.36156363,0,27.35449576,0,23.22514745,0,26.39424707,0,44.73191178,0,29.72938902,0,10.86085909,3.486616211,21.36562358,39.18077755,29.07860167,46.87397659,25.23206068,12.51902953,18.06298687,22.01936067,1.403233472,-6.493237134,-13.93540328,-33.70317727,-17.46880272,-14.73306562,-7.653961938,17.37003778,25.18111721,25.60463814,30.60880158,21.98524508,32.68007691,32.61351552,-2.98939002,-21.08224122,9.703296329,34.91934996,43.98731486,72.98448199,22.36819044,16.63971147,38.71566864,31.52604521,23.67992019,20.32136835,13.5979173,1.846847874,-9.761315549,-27.48087033,-13.59355207,-14.44029738,-42.33441278,-44.40289866,-28.52777806,-38.55073237,-12.98420735,1.598979667,-48.595332,-94.1938678,-36.63809636,-65.08566652,-16.10939283,-22.19124096,-27.18486309,22.88384501,-3.541571522,1948.330977,139.4399661,222.6886503,136.5470911
"339","000825.SZ","∏÷Ã˙",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-16.59735064,0,0,0,-8.602599848,0,0,0,62.59361306,0,0,0,48.34513419,0,16.22294217,0,3.291367108,0,13.06789209,0,1.991092818,0,-7.623745976,0,5.887099387,52.73780609,58.13185275,82.76844851,109.0326461,154.2596156,92.80994197,62.00101451,59.13120097,26.56262112,16.27058291,1.782011711,-24.24502051,-53.94581493,26.94228969,89.91177863,205.0591944,749.5152793,290.5889609,156.6665009,72.49767128,-25.45217432,-22.41711303,-29.41736008,-72.14283575,-176.395928,-131.9356661,-99.18902389,-26.66308633,162.412793,218.3144546,4611.111619,53.26538589,-0.211577962,2.628040054,25.55750895,30.4271878,-67.47789054,-61.99712012,-51.31475399,-44.19191148,37.99494588,-25.10434681,-45.2303621,-50.01412936,-43.46208473,9.115673643,24.09589866,-44.38467209,-98.9328322,-90.11204292,-299.7409187,-1478.260377,-47596.31185,829.4458088,190.6981599,126.703857,149.9131272,172.3600264,172.6172778,325.4963035
"382","000898.SZ","∏÷Ã˙",0,0,0,0,0,0,0,0,0,0,0,-47.23987728,0,0,0,119.0285289,0,0,0,15.68641664,0,-57.86598997,0,-75.76365772,0,-34.00443578,0,135.3148859,0,235.5129357,0,68.14781244,0,-15.12749441,0,-17.97242607,0,-3.216485438,6.566042736,47.26893098,356.6971239,224.947622,134.4938611,140.9364131,6.440147476,12.18507713,31.98289603,23.99574474,114.986668,75.60723291,43.39835825,17.06590585,87.28142221,154.3773523,206.2407273,229.2448292,111.6710875,54.51913799,25.1572327,9.934258583,2.046783626,24.47960033,25.67382366,-60.32125315,-99.67346939,-126.1371237,-96.00145402,-76.98758806,57500,276.5195138,666.6666667,184.2565598,-95.92013889,-94.78071765,-95.17786561,-219.5897436,-4219.148936,-1544.444444,-2833.606557,-87.82161235,127.1694215,133.0769231,122.4887556,117.75635,-45.62737643,-16.13372093,22.93333333,22.38410596,-93.70629371,-73.83015598,-196.9631236,-597.8354978,-3516.666667,96.68874172,208.1655481,135.1086957,275.1219512,516.4983165,240.9513961,247.4922601
"411","000932.SZ","∏÷Ã˙",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.909755385,0,0,0,-1.815692318,0,0,0,28.36609717,0,-37.22396322,0,26.48933106,0,81.41445038,0,50.75882291,0,23.1287965,15.66416531,9.874923244,53.45854939,43.61959488,42.4028966,43.0531152,61.75933927,34.6108741,26.82085308,36.45319322,44.30974984,36.93657339,2.904491326,-37.27029825,-76.4164289,-44.627078,-1.784441425,94.82779268,264.2285924,100.3390366,66.03817036,47.07936393,-192.9691018,-3.942624392,-2.66800302,-47.05887495,-22.70154614,-173.3445194,-123.5574325,-90.48298693,25.09957226,26.45430569,-403.3769048,-2740.655025,29.26380426,49.73049757,87.30292403,102.6685364,-263.7560782,-551.5662873,-1308.383139,-4835.811911,49.91446565,72.5687225,90.20939502,104.2580704,52.07182563,110.3293913,129.9392455,-0.617984661,-22.27884089,-648.3712156,-2008.879682,-2842.391202,-405.9245192,-525.3224602,-6.939590963,61.36142967,130.5037641,186.1837865,304.5032069,441.0496429
"427","000959.SZ","∏÷Ã˙",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.031902018,0,0,0,38.77833279,0,0,0,-13.08922803,0,13.97457042,0,5.169939919,0,0.309381105,0,20.80689094,0,-12.43535683,0,-3.429464058,-41.07950157,-22.4943349,4.62824873,21.47340627,76.56915753,47.40716066,31.22365778,27.74198647,6.083500594,-2.602302637,-8.580825858,-29.078609,-70.74327978,-41.21190235,-42.14207517,-41.88315839,61.72427554,33.81894139,23.08862377,39.37623409,49.48886894,48.09957626,8.616932026,-41.90155066,-75.42494292,-93.46764029,-38.05581623,-14.18057434,32.91988282,93.46683112,-26.58290666,-23.55763081,-70.15439783,217.8039278,-94.24654562,-183.8747194,-1162.830212,-310.7902001,-3366.782921,-174.2486563,6.590561129,29.62955023,0.144033092,36.05236889,63.06758068,78.79571115,83.15937932,-104.6422743,-3259.798389,-936.7796007,-1310.923738,-5068.606448,-45.04281525,112.3329127,131.9507243,132.127173,186.750722,3853.111385,1077.946785,558.8608195
"539","002075.SZ","∏÷Ã˙",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.94052283,0,0,0,18.71284919,0,0,66.6696323,32.90066216,130.9353848,6.219677732,1.57543389,-477.9869948,-548.6729609,-411.8184338,-512.1671271,-183.5605674,43.36026776,11.16339385,5.228013526,68.39061854,-17.8066673,75.40179563,49.11893469,236.660139,-16.38271002,-41.1160218,-21.08909406,-26.52788478,-87.3328215,-84.02706495,-111.1443355,-97.31228982,-75.73702139,-76.57006153,146.257645,181.9879553,29.5703032,491.5917937,303.3401519,69.94025052,33.63927839,-170.0038283,-187.1458294,-286.2819911,-44.79569654,344.4552614,377.2154183,435.4450959,3806.495217,218.6168853,198.7558015,226.2923468
"574","002110.SZ","∏÷Ã˙",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-35.90246918,0,0,0,-66.72133717,0,0,133.276196,150.9719995,98.67763301,11.32452058,2.510832672,34.52248439,90.85104573,151.5164671,82.45395211,-93.02318999,-177.9589548,-153.3925922,-99.25865572,21.32468707,128.4719625,125.6636246,1798.188056,160.0948901,34.26647099,108.0936392,212.7380644,130.3535258,-94.1534057,-89.8782476,-207.451548,-185.065799,648.1486463,-302.2327411,94.95457308,125.0181955,-284.1464519,-39.14704531,-41.11502963,-40.71668572,-277.2284602,-522.3765063,-3320.806166,-3006.284177,124.5891254,233.8815142,180.7652724,199.7736768,843.8830384,199.8839485,373.0272223,330.6072206
"781","002318.SZ","∏÷Ã˙",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.18792076,0,0,0,-1.214838928,0,0,8.415031165,16.18966441,-17.21518339,-27.00138248,-25.83282371,-19.78761691,43.58149764,58.30638563,60.98587552,45.30007064,25.18707138,10.82116479,23.30547313,29.61052812,45.28195384,37.11764332,35.11714843,37.27668947,10.0256703,1.870911342,-5.711381508,-15.20870601,-40.4115228,-32.74807174,-30.2148814,-39.71009936,-21.87046242,-14.15016224,-8.664444527,40.55306603,0.137003774,7.21735525,1.931230529,-18.87299791
"906","002443.SZ","∏÷Ã˙",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.88218329,0,0,0,19.37035882,-0.667310737,-8.456780689,-19.11816369,-27.82162967,-36.74521677,-33.78002186,-12.77713334,-16.05299482,27.20689773,64.61061803,49.3184618,61.03358757,49.40618189,29.27247916,24.65597101,9.647769971,-63.5311696,-43.21172195,-45.92673267,-35.25896707,21.78695767,43.62532876,51.49879895,26.86127718,-13.39387692,-6.077444755,-49.91146447,-31.57316911,-33.18932035,-19.87635556,185.9083336,168.1568767
"941","002478.SZ","∏÷Ã˙",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.2447036,0,0,0,-24.9165492,0,0,-10.13008898,-4.914839603,30.38288477,12.56455213,18.65203872,25.08484006,2.360702467,-11.87725657,-15.12285889,-21.25322396,1.079997119,5.348967535,17.47461026,12.51408653,17.85346383,16.35224789,5.647508648,9.087188873,-16.28208635,-19.69545853,-17.89373885,-20.14416423,-36.53169214,-34.31375694,-42.80437437,-42.61983269,-18.92087875,5.30955812,5.638958794,23.81412741
"1213","002756.SZ","∏÷Ã˙",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101.6920275,0,0,0,82.65882256,0,0,0,-25.08039019,0,0,0,18.1887617,0,0,0,-2.654804741,0,0,0,-2.419910454,0,0,0,2.507703968,0,0,0,13.98327398,-6.280397269,-20.42359074,-13.90079489,-16.10546158,4.125315735,8.358461628,8.752731153,14.44514465,21.24582068,25.8359528,26.62445267,38.56957834
