证券代码,证券简称,"净资产收益率ROE(平均)
[报告期] 1993一季
[单位] %","净资产收益率ROE(平均)
[报告期] 1993中报
[单位] %","净资产收益率ROE(平均)
[报告期] 1993三季
[单位] %","净资产收益率ROE(平均)
[报告期] 1993年报
[单位] %","净资产收益率ROE(平均)
[报告期] 1994一季
[单位] %","净资产收益率ROE(平均)
[报告期] 1994中报
[单位] %","净资产收益率ROE(平均)
[报告期] 1994三季
[单位] %","净资产收益率ROE(平均)
[报告期] 1994年报
[单位] %","净资产收益率ROE(平均)
[报告期] 1995一季
[单位] %","净资产收益率ROE(平均)
[报告期] 1995中报
[单位] %","净资产收益率ROE(平均)
[报告期] 1995三季
[单位] %","净资产收益率ROE(平均)
[报告期] 1995年报
[单位] %","净资产收益率ROE(平均)
[报告期] 1996一季
[单位] %","净资产收益率ROE(平均)
[报告期] 1996中报
[单位] %","净资产收益率ROE(平均)
[报告期] 1996三季
[单位] %","净资产收益率ROE(平均)
[报告期] 1996年报
[单位] %","净资产收益率ROE(平均)
[报告期] 1997一季
[单位] %","净资产收益率ROE(平均)
[报告期] 1997中报
[单位] %","净资产收益率ROE(平均)
[报告期] 1997三季
[单位] %","净资产收益率ROE(平均)
[报告期] 1997年报
[单位] %","净资产收益率ROE(平均)
[报告期] 1998一季
[单位] %","净资产收益率ROE(平均)
[报告期] 1998中报
[单位] %","净资产收益率ROE(平均)
[报告期] 1998三季
[单位] %","净资产收益率ROE(平均)
[报告期] 1998年报
[单位] %","净资产收益率ROE(平均)
[报告期] 1999一季
[单位] %","净资产收益率ROE(平均)
[报告期] 1999中报
[单位] %","净资产收益率ROE(平均)
[报告期] 1999三季
[单位] %","净资产收益率ROE(平均)
[报告期] 1999年报
[单位] %","净资产收益率ROE(平均)
[报告期] 2000一季
[单位] %","净资产收益率ROE(平均)
[报告期] 2000中报
[单位] %","净资产收益率ROE(平均)
[报告期] 2000三季
[单位] %","净资产收益率ROE(平均)
[报告期] 2000年报
[单位] %","净资产收益率ROE(平均)
[报告期] 2001一季
[单位] %","净资产收益率ROE(平均)
[报告期] 2001中报
[单位] %","净资产收益率ROE(平均)
[报告期] 2001三季
[单位] %","净资产收益率ROE(平均)
[报告期] 2001年报
[单位] %","净资产收益率ROE(平均)
[报告期] 2002一季
[单位] %","净资产收益率ROE(平均)
[报告期] 2002中报
[单位] %","净资产收益率ROE(平均)
[报告期] 2002三季
[单位] %","净资产收益率ROE(平均)
[报告期] 2002年报
[单位] %","净资产收益率ROE(平均)
[报告期] 2003一季
[单位] %","净资产收益率ROE(平均)
[报告期] 2003中报
[单位] %","净资产收益率ROE(平均)
[报告期] 2003三季
[单位] %","净资产收益率ROE(平均)
[报告期] 2003年报
[单位] %","净资产收益率ROE(平均)
[报告期] 2004一季
[单位] %","净资产收益率ROE(平均)
[报告期] 2004中报
[单位] %","净资产收益率ROE(平均)
[报告期] 2004三季
[单位] %","净资产收益率ROE(平均)
[报告期] 2004年报
[单位] %","净资产收益率ROE(平均)
[报告期] 2005一季
[单位] %","净资产收益率ROE(平均)
[报告期] 2005中报
[单位] %","净资产收益率ROE(平均)
[报告期] 2005三季
[单位] %","净资产收益率ROE(平均)
[报告期] 2005年报
[单位] %","净资产收益率ROE(平均)
[报告期] 2006一季
[单位] %","净资产收益率ROE(平均)
[报告期] 2006中报
[单位] %","净资产收益率ROE(平均)
[报告期] 2006三季
[单位] %","净资产收益率ROE(平均)
[报告期] 2006年报
[单位] %","净资产收益率ROE(平均)
[报告期] 2007一季
[单位] %","净资产收益率ROE(平均)
[报告期] 2007中报
[单位] %","净资产收益率ROE(平均)
[报告期] 2007三季
[单位] %","净资产收益率ROE(平均)
[报告期] 2007年报
[单位] %","净资产收益率ROE(平均)
[报告期] 2008一季
[单位] %","净资产收益率ROE(平均)
[报告期] 2008中报
[单位] %","净资产收益率ROE(平均)
[报告期] 2008三季
[单位] %","净资产收益率ROE(平均)
[报告期] 2008年报
[单位] %","净资产收益率ROE(平均)
[报告期] 2009一季
[单位] %","净资产收益率ROE(平均)
[报告期] 2009中报
[单位] %","净资产收益率ROE(平均)
[报告期] 2009三季
[单位] %","净资产收益率ROE(平均)
[报告期] 2009年报
[单位] %","净资产收益率ROE(平均)
[报告期] 2010一季
[单位] %","净资产收益率ROE(平均)
[报告期] 2010中报
[单位] %","净资产收益率ROE(平均)
[报告期] 2010三季
[单位] %","净资产收益率ROE(平均)
[报告期] 2010年报
[单位] %","净资产收益率ROE(平均)
[报告期] 2011一季
[单位] %","净资产收益率ROE(平均)
[报告期] 2011中报
[单位] %","净资产收益率ROE(平均)
[报告期] 2011三季
[单位] %","净资产收益率ROE(平均)
[报告期] 2011年报
[单位] %","净资产收益率ROE(平均)
[报告期] 2012一季
[单位] %","净资产收益率ROE(平均)
[报告期] 2012中报
[单位] %","净资产收益率ROE(平均)
[报告期] 2012三季
[单位] %","净资产收益率ROE(平均)
[报告期] 2012年报
[单位] %","净资产收益率ROE(平均)
[报告期] 2013一季
[单位] %","净资产收益率ROE(平均)
[报告期] 2013中报
[单位] %","净资产收益率ROE(平均)
[报告期] 2013三季
[单位] %","净资产收益率ROE(平均)
[报告期] 2013年报
[单位] %","净资产收益率ROE(平均)
[报告期] 2014一季
[单位] %","净资产收益率ROE(平均)
[报告期] 2014中报
[单位] %","净资产收益率ROE(平均)
[报告期] 2014三季
[单位] %","净资产收益率ROE(平均)
[报告期] 2014年报
[单位] %","净资产收益率ROE(平均)
[报告期] 2015一季
[单位] %","净资产收益率ROE(平均)
[报告期] 2015中报
[单位] %","净资产收益率ROE(平均)
[报告期] 2015三季
[单位] %","净资产收益率ROE(平均)
[报告期] 2015年报
[单位] %","净资产收益率ROE(平均)
[报告期] 2016一季
[单位] %","净资产收益率ROE(平均)
[报告期] 2016中报
[单位] %","净资产收益率ROE(平均)
[报告期] 2016三季
[单位] %","净资产收益率ROE(平均)
[报告期] 2016年报
[单位] %","净资产收益率ROE(平均)
[报告期] 2017一季
[单位] %","净资产收益率ROE(平均)
[报告期] 2017中报
[单位] %","净资产收益率ROE(平均)
[报告期] 2017三季
[单位] %","净资产收益率ROE(平均)
[报告期] 2017年报
[单位] %"
000552.SZ,靖远煤电,,,,,,4.2619,,7.6568,,1.9907,,1.5050,,1.9000,,0.9534,,0.4650,,5.6348,,2.1641,,-14.8277,,-5.8719,,7.6869,,14.2758,,15.6041,,6.4597,,4.8483,-2.6288,-8.4826,-14.1372,-18.9201,-2.5233,-6.2585,-8.8706,-51.9967,-6.0626,-13.6204,-21.2015,-55.3704,1.7403,12.1805,30.8953,41.6003,12.9832,21.7025,24.1199,24.9388,4.7637,8.7352,12.5059,22.6171,4.2461,8.3722,10.9428,20.1304,2.5454,6.4083,9.4591,13.1858,4.1823,8.8725,11.0084,13.4108,4.8139,9.5990,12.0685,15.1451,3.9496,7.6421,22.8665,34.0881,5.0018,9.0649,13.9324,18.4412,4.1138,6.9825,10.2783,12.6935,1.5335,2.8172,3.7320,4.0728,0.8505,1.2408,1.9465,3.5750,1.8225,4.3208,5.6807,8.3981
000571.SZ,新大洲A,,,,44.6520,,15.8978,,24.1635,,9.6945,,17.5316,,13.4902,,38.7368,,15.6011,,15.1314,,16.9464,,17.9678,,3.1957,,1.3374,,0.0959,,-13.0461,,0.5431,,-16.3924,-3.8538,-3.0955,-0.4959,1.4873,0.1751,-0.8861,-0.4289,1.4797,0.2026,0.2372,0.7482,0.9381,0.0720,0.6572,0.8124,0.7529,-1.1694,-0.4201,-0.5988,0.7930,1.1649,1.2491,2.1241,2.2727,1.2548,1.9118,3.8156,5.4083,1.9804,4.3862,7.7526,10.7555,2.1846,5.4863,7.4132,10.1113,2.1564,5.6217,8.3954,11.1670,2.0492,5.9435,8.6958,5.6135,1.1357,2.4707,4.6915,5.7735,1.3859,2.5704,4.5859,3.7891,1.1952,2.2777,3.8277,2.5925,0.8800,1.6526,2.9180,1.4938,0.9928,2.1935,2.9635,0.9762
000723.SZ,美锦能源,,,,,,,,,,,,13.7114,,,,27.2711,,4.1976,,13.9949,,2.0819,,11.3420,,1.9583,,0.9975,,-0.6092,,-8.1379,,-17.6011,,-60.2364,0.2696,4.2174,8.8238,12.0416,0.7194,4.7573,8.8733,12.5126,1.3116,5.0775,8.6407,10.1533,1.0560,3.3287,5.1791,2.6583,0.5394,3.8192,6.4974,5.0738,3.2709,7.7831,13.0982,20.4839,4.9149,14.8149,18.9314,20.3643,-0.0658,-2.6366,-2.4369,-0.9822,1.2472,-0.3308,-0.8362,1.8860,1.1073,2.0482,6.7973,4.1215,-2.0683,-2.6136,-4.9149,-6.6148,3.7696,4.4743,6.8384,8.2321,1.7462,-0.9213,0.7465,2.0762,-2.6434,-5.6554,-9.0529,-10.8518,-0.8452,1.5566,5.6641,10.3246,4.3655,7.1199,11.8392,14.5507
000780.SZ,平庄能源,,,,,,,,,,,,26.6281,,,,28.7513,,10.0772,,17.1164,,6.3788,,11.9693,,10.9128,,12.8692,,4.2149,,7.2648,,4.7826,,8.2633,1.8174,4.6023,6.2946,6.9673,0.8670,1.7443,2.5643,-35.5907,0.6616,1.9474,3.2089,-48.2581,0.6832,1.9276,3.2076,-126.4554,-10.2922,-352.4864,-608.4766,1.4163,-20.4425,21.7108,15.3841,10.8219,3.7412,10.3129,19.0207,25.2731,6.8434,10.0076,13.7023,17.4827,5.7356,11.4774,16.2951,19.5364,5.8309,9.1236,13.9654,22.0828,4.2555,8.7264,10.1469,8.9531,1.4119,0.8883,0.5754,0.7958,0.2992,-0.7834,-0.0979,0.5877,-0.5903,-1.0702,-4.5996,-8.6950,-1.9878,-5.3273,-9.3490,-7.7066,-0.5519,3.2505,5.4840,11.1319
000937.SZ,冀中能源,,,,,,,,,,,,,,,,,,,,49.7087,,,,49.0740,,16.4536,,16.6761,,5.2208,,13.0080,,5.4000,,16.0691,3.1220,6.3486,10.4614,11.4434,2.2813,3.5249,5.3913,8.1505,3.1976,7.5679,14.4332,20.6876,8.9299,15.0469,19.4651,21.4616,4.1119,7.7809,10.7329,15.5013,5.0082,8.8654,13.2773,16.5572,7.9654,20.3892,41.2750,42.4387,6.2582,9.9147,12.5964,21.2158,6.3357,12.4109,17.4842,22.5742,6.8148,13.4577,18.6101,23.4713,5.4572,9.7175,12.5554,15.3925,3.3130,5.2060,5.5325,7.7833,0.4756,0.3422,0.2406,0.1441,0.0272,0.0349,0.0093,1.9159,0.0228,0.0499,0.4395,1.3212,1.5180,3.0400,4.4331,5.6213
000968.SZ,蓝焰控股,,,,,,,,,,,,,,,,,,,,,,,,18.7051,,,,17.0325,,2.5115,,7.0089,,2.3563,,4.7979,1.3103,3.1316,4.6662,4.2385,0.6555,3.1904,5.5996,5.7908,3.5863,7.6064,12.6455,12.9781,3.9840,9.5942,11.2834,13.6879,-2.2490,1.6729,5.3435,9.3540,1.9477,6.0948,10.8181,15.7551,6.1327,19.6290,34.3081,31.4637,3.6312,4.7546,8.7367,14.1663,3.0627,6.1191,7.2222,8.2042,1.6323,3.2170,5.1511,6.7853,1.2361,-1.5951,-7.4996,-11.9930,-3.0543,-6.7415,-12.0449,1.6621,-2.4657,-11.8673,-20.7822,-43.3064,-12.5919,-45.0003,-78.4413,-152.9181,-262.6093,,,48.4225,3.6339,11.6318,14.5389,21.5936
000983.SZ,西山煤电,,,,,,,,,,,,,,,,,,,,,,,,30.9234,,,,27.4365,,10.3511,,10.8331,,3.6736,,8.6114,2.2933,3.5318,5.1366,6.8376,2.4455,4.4686,6.4330,9.4695,3.5957,8.4687,13.4230,17.6857,6.3781,12.3818,18.0972,23.0743,5.3985,11.0726,16.0729,19.7023,5.5154,11.2900,15.1859,18.9815,7.7454,19.7482,38.5371,40.5394,9.7652,14.4179,20.4121,23.7680,8.1195,15.5644,22.3408,23.2911,7.5770,13.3740,18.4178,21.1767,6.9486,11.1913,12.7255,12.4969,3.4968,5.6420,6.0390,6.8035,1.4623,2.2876,2.1031,1.7144,0.5308,1.2589,1.8626,0.8843,0.3012,0.6728,1.2429,2.6729,2.7783,5.3919,7.9389,9.1370
002128.SZ,露天煤业,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.4953,,,,42.5932,21.4639,20.7945,25.8871,29.9981,11.2828,17.2149,22.2028,28.2147,13.2958,19.4141,23.9853,32.9228,14.1607,22.7258,31.0091,39.6816,12.5316,18.7556,25.7047,37.5967,10.2703,15.3355,17.3898,30.3259,6.8603,7.1987,10.1411,15.3365,3.8617,3.8710,3.6206,8.5289,4.0708,4.6177,3.7020,6.2041,2.7681,3.8831,5.5117,8.9892,7.0930,10.6677,12.1121,17.2850
600121.SH,郑州煤电,,,,,,,,,,,,,,,,62.2240,,24.4762,,22.7311,,4.6584,,16.4959,,8.6484,,16.6370,,5.4264,,9.7672,,3.6951,,6.1420,1.5503,2.7191,3.9571,6.3577,1.2530,2.3311,3.5941,6.3261,1.0496,5.3279,7.3981,10.7859,2.7749,6.5119,9.4041,14.3246,4.1348,7.7562,10.7626,12.0297,2.5639,8.2732,11.5863,13.3053,1.2825,5.5409,9.7870,12.0681,2.1760,2.6727,4.7145,6.8617,2.0972,3.7271,5.4330,7.5166,1.0858,2.3241,3.6759,6.2845,0.5976,1.2834,1.9096,15.9958,1.8875,0.5840,1.4036,1.2317,0.0489,-1.3468,-4.5035,1.5510,0.5885,-4.2038,-10.7516,-14.2157,-3.5396,-5.6371,-4.0843,-20.0897,7.6971,13.5052,19.7408,20.4440
600123.SH,兰花科创,,,,,,,,,,,,,,,,25.2866,,,,25.3626,,,,15.4830,,6.0346,,11.5391,,5.3440,,1.1360,,1.6076,,4.8209,2.0296,3.5914,6.0168,9.9906,4.4944,7.6626,11.2716,17.9539,5.3703,10.8338,16.8221,24.0417,7.9112,15.3463,23.8102,29.3348,8.1568,17.2780,24.2678,24.9913,5.1865,11.0535,15.6951,20.1517,6.8224,19.1773,29.1524,38.5177,6.3007,14.9260,20.3720,26.1646,5.1552,12.6790,16.9299,22.1726,5.0107,10.9710,16.7358,22.9295,6.2415,13.0836,17.4949,21.3029,4.3375,7.0477,8.6190,10.4098,-0.5324,-0.0815,0.1829,0.6947,0.0052,0.5947,0.6828,0.1434,-1.5801,-1.9373,-2.5120,-7.2427,2.5642,5.7411,8.2267,8.6906
600157.SH,永泰能源,,,,,,,,,,,,,,,,20.3792,,,,20.4055,,21.1471,,37.7422,,15.2199,,39.8711,,11.0157,,12.8871,,6.2417,,6.6595,0.5937,3.2828,3.8055,3.8516,0.6434,1.8455,3.4565,3.7084,3.2004,3.3108,4.0332,3.9761,3.1605,3.6514,3.1919,3.9525,1.7816,2.2768,3.0458,-1.6631,0.0266,0.3689,0.6501,0.5290,0.0675,0.3864,0.5630,0.7157,0.6148,1.3395,4.3693,6.0782,7.6742,15.9153,18.0177,23.8788,5.0569,6.7566,11.9343,18.0666,2.6635,6.6684,10.0690,17.1753,2.5212,3.7509,5.3203,5.1525,0.5480,3.6723,3.9677,4.0933,0.2464,2.9296,3.5202,3.9634,0.2478,1.0715,2.0910,3.0327,0.4500,1.0719,1.7230,2.5098
600188.SH,兖州煤业,,,,,,,,,,,,,,,,137.2279,,,,43.6970,,8.2244,,18.0617,,6.6720,,13.1708,,5.7570,,11.6567,,5.8460,,12.8663,3.5096,6.4466,9.1280,10.9142,2.6395,5.7605,8.4294,10.6891,3.4834,9.3019,15.0537,20.6103,5.0560,10.5279,12.7995,15.4070,3.3376,7.8409,10.2797,10.5834,3.8714,6.2318,10.0184,14.4460,7.3365,17.9105,29.6333,28.1997,3.1117,7.2312,11.2329,14.1810,7.1266,9.0418,20.2688,27.6850,6.4985,13.2280,16.1084,21.8517,5.0423,11.4845,11.1840,12.7002,1.0681,-5.7418,-1.3958,3.0396,0.6667,2.0849,4.9183,5.8434,0.5657,1.5637,3.5722,2.1758,0.6088,1.4719,2.4885,5.0460,3.9871,6.8857,9.9862,13.9655
600348.SH,阳泉煤业,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.6287,,,,29.5647,,14.7507,12.3682,16.2473,2.3986,6.4739,11.0116,16.7388,4.9167,12.6472,18.4993,23.8168,5.2194,11.0102,17.0358,24.3644,4.5988,8.6191,12.4479,15.3352,5.3061,13.5531,28.7097,36.6115,7.1347,18.2532,26.5584,34.9943,7.9889,18.5220,28.0442,33.2428,7.2665,16.8447,22.8814,28.1742,6.2356,10.8767,13.2384,18.7418,3.7456,4.8079,5.6225,7.2390,0.9449,2.7052,3.1922,6.1434,0.5097,2.4322,2.0130,0.6470,0.0839,0.6503,0.9662,3.2545,3.0803,6.0536,8.1229,11.4920
